stdout 4047
0 -> 1
0 -> 1
   0 -> 4
               0 -> 16
0                -> 16
0    -> 4
0 -> 1
0 -> 1
0 -> 1
   0 -> 4
               0 -> 16
0 -> 1
2147483647 -> 10
2147483647 -> 10
2147483647 -> 10
      2147483647 -> 16
2147483647       -> 16
2147483647 -> 10
2147483647 -> 10
2147483647 -> 10
2147483647 -> 10
2147483647 -> 10
      2147483647 -> 16
2147483647 -> 10
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
     -2147483648 -> 16
-2147483648      -> 16
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
     -2147483648 -> 16
-2147483648 -> 11
1479280589 -> 10
1479280589 -> 10
1479280589 -> 10
      1479280589 -> 16
1479280589       -> 16
1479280589 -> 10
1479280589 -> 10
1479280589 -> 10
1479280589 -> 10
1479280589 -> 10
      1479280589 -> 16
1479280589 -> 10
-341142443 -> 10
-341142443 -> 10
-341142443 -> 10
      -341142443 -> 16
-341142443       -> 16
-341142443 -> 10
-341142443 -> 10
-341142443 -> 10
-341142443 -> 10
-341142443 -> 10
      -341142443 -> 16
-341142443 -> 10
48424546 -> 8
48424546 -> 8
48424546 -> 8
        48424546 -> 16
48424546         -> 16
48424546 -> 8
48424546 -> 8
48424546 -> 8
48424546 -> 8
48424546 -> 8
        48424546 -> 16
48424546 -> 8
-100515324 -> 10
-100515324 -> 10
-100515324 -> 10
      -100515324 -> 16
-100515324       -> 16
-100515324 -> 10
-100515324 -> 10
-100515324 -> 10
-100515324 -> 10
-100515324 -> 10
      -100515324 -> 16
-100515324 -> 10
1752831507 -> 10
1752831507 -> 10
1752831507 -> 10
      1752831507 -> 16
1752831507       -> 16
1752831507 -> 10
1752831507 -> 10
1752831507 -> 10
1752831507 -> 10
1752831507 -> 10
      1752831507 -> 16
1752831507 -> 10
20129910 -> 8
20129910 -> 8
20129910 -> 8
        20129910 -> 16
20129910         -> 16
20129910 -> 8
20129910 -> 8
20129910 -> 8
20129910 -> 8
20129910 -> 8
        20129910 -> 16
20129910 -> 8
-936999309 -> 10
-936999309 -> 10
-936999309 -> 10
      -936999309 -> 16
-936999309       -> 16
-936999309 -> 10
-936999309 -> 10
-936999309 -> 10
-936999309 -> 10
-936999309 -> 10
      -936999309 -> 16
-936999309 -> 10
1098670713 -> 10
1098670713 -> 10
1098670713 -> 10
      1098670713 -> 16
1098670713       -> 16
1098670713 -> 10
1098670713 -> 10
1098670713 -> 10
1098670713 -> 10
1098670713 -> 10
      1098670713 -> 16
1098670713 -> 10
1727289611 -> 10
1727289611 -> 10
1727289611 -> 10
      1727289611 -> 16
1727289611       -> 16
1727289611 -> 10
1727289611 -> 10
1727289611 -> 10
1727289611 -> 10
1727289611 -> 10
      1727289611 -> 16
1727289611 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
      -815409959 -> 16
-815409959       -> 16
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
      -815409959 -> 16
-815409959 -> 10
987119867 -> 9
987119867 -> 9
987119867 -> 9
       987119867 -> 16
987119867        -> 16
987119867 -> 9
987119867 -> 9
987119867 -> 9
987119867 -> 9
987119867 -> 9
       987119867 -> 16
987119867 -> 9
790204970 -> 9
790204970 -> 9
790204970 -> 9
       790204970 -> 16
790204970        -> 16
790204970 -> 9
790204970 -> 9
790204970 -> 9
790204970 -> 9
790204970 -> 9
       790204970 -> 16
790204970 -> 9
-1714975244 -> 11
-1714975244 -> 11
-1714975244 -> 11
     -1714975244 -> 16
-1714975244      -> 16
-1714975244 -> 11
-1714975244 -> 11
-1714975244 -> 11
-1714975244 -> 11
-1714975244 -> 11
     -1714975244 -> 16
-1714975244 -> 11
-282729822 -> 10
-282729822 -> 10
-282729822 -> 10
      -282729822 -> 16
-282729822       -> 16
-282729822 -> 10
-282729822 -> 10
-282729822 -> 10
-282729822 -> 10
-282729822 -> 10
      -282729822 -> 16
-282729822 -> 10
1773868988 -> 10
1773868988 -> 10
1773868988 -> 10
      1773868988 -> 16
1773868988       -> 16
1773868988 -> 10
1773868988 -> 10
1773868988 -> 10
1773868988 -> 10
1773868988 -> 10
      1773868988 -> 16
1773868988 -> 10
-98742266 -> 9
-98742266 -> 9
-98742266 -> 9
       -98742266 -> 16
-98742266        -> 16
-98742266 -> 9
-98742266 -> 9
-98742266 -> 9
-98742266 -> 9
-98742266 -> 9
       -98742266 -> 16
-98742266 -> 9
stderr 0
