stdout 91824
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
        82e2e662 -> 16
        82e2e662 -> 16
        82e2e662 -> 16
0000000082e2e662 -> 16
        82e2e662 -> 16
        82e2e662 -> 16
        82e2e662 -> 16
        82e2e662 -> 16
        82e2e662 -> 16
        82e2e662 -> 16
0000000082e2e662 -> 16
        82e2e662 -> 16
        82e2e662 -> 16
82e2e662         -> 16
82e2e662         -> 16
82e2e662         -> 16
0000000082e2e662 -> 16
82e2e662         -> 16
82e2e662         -> 16
82e2e662         -> 16
82e2e662         -> 16
82e2e662         -> 16
82e2e662         -> 16
0000000082e2e662 -> 16
82e2e662         -> 16
82e2e662         -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
0000000082e2e662 -> 16
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
82e2e662 -> 8
