stdout 91824
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
00000000E6F4590B -> 16
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
00000000E6F4590B -> 16
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
00000000E6F4590B -> 16
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
00000000E6F4590B -> 16
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
00000000E6F4590B -> 16
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
00000000E6F4590B -> 16
E6F4590B -> 8
E6F4590B -> 8
        E6F4590B -> 16
        E6F4590B -> 16
        E6F4590B -> 16
00000000E6F4590B -> 16
        E6F4590B -> 16
        E6F4590B -> 16
        E6F4590B -> 16
        E6F4590B -> 16
        E6F4590B -> 16
        E6F4590B -> 16
00000000E6F4590B -> 16
        E6F4590B -> 16
        E6F4590B -> 16
E6F4590B         -> 16
E6F4590B         -> 16
E6F4590B         -> 16
00000000E6F4590B -> 16
E6F4590B         -> 16
E6F4590B         -> 16
E6F4590B         -> 16
E6F4590B         -> 16
E6F4590B         -> 16
E6F4590B         -> 16
00000000E6F4590B -> 16
E6F4590B         -> 16
E6F4590B         -> 16
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
00000000E6F4590B -> 16
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
00000000E6F4590B -> 16
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
00000000E6F4590B -> 16
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
E6F4590B -> 8
00000000E6F4590B -> 16
E6F4590B -> 8
