stdout 3923
 -> 0
0 -> 1
0000 -> 4
0000000000000000 -> 16
0 -> 1
0 -> 1
0 -> 1
 -> 0
0 -> 1
0000 -> 4
0000000000000000 -> 16
 -> 0
2147483647 -> 10
2147483647 -> 10
2147483647 -> 10
0000002147483647 -> 16
2147483647 -> 10
2147483647 -> 10
2147483647 -> 10
2147483647 -> 10
2147483647 -> 10
2147483647 -> 10
0000002147483647 -> 16
2147483647 -> 10
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
1479280589 -> 10
1479280589 -> 10
1479280589 -> 10
0000001479280589 -> 16
1479280589 -> 10
1479280589 -> 10
1479280589 -> 10
1479280589 -> 10
1479280589 -> 10
1479280589 -> 10
0000001479280589 -> 16
1479280589 -> 10
-341142443 -> 10
-341142443 -> 10
-341142443 -> 10
-0000000341142443 -> 17
-341142443 -> 10
-341142443 -> 10
-341142443 -> 10
-341142443 -> 10
-341142443 -> 10
-341142443 -> 10
-0000000341142443 -> 17
-341142443 -> 10
48424546 -> 8
48424546 -> 8
48424546 -> 8
0000000048424546 -> 16
48424546 -> 8
48424546 -> 8
48424546 -> 8
48424546 -> 8
48424546 -> 8
48424546 -> 8
0000000048424546 -> 16
48424546 -> 8
-100515324 -> 10
-100515324 -> 10
-100515324 -> 10
-0000000100515324 -> 17
-100515324 -> 10
-100515324 -> 10
-100515324 -> 10
-100515324 -> 10
-100515324 -> 10
-100515324 -> 10
-0000000100515324 -> 17
-100515324 -> 10
1752831507 -> 10
1752831507 -> 10
1752831507 -> 10
0000001752831507 -> 16
1752831507 -> 10
1752831507 -> 10
1752831507 -> 10
1752831507 -> 10
1752831507 -> 10
1752831507 -> 10
0000001752831507 -> 16
1752831507 -> 10
20129910 -> 8
20129910 -> 8
20129910 -> 8
0000000020129910 -> 16
20129910 -> 8
20129910 -> 8
20129910 -> 8
20129910 -> 8
20129910 -> 8
20129910 -> 8
0000000020129910 -> 16
20129910 -> 8
-936999309 -> 10
-936999309 -> 10
-936999309 -> 10
-0000000936999309 -> 17
-936999309 -> 10
-936999309 -> 10
-936999309 -> 10
-936999309 -> 10
-936999309 -> 10
-936999309 -> 10
-0000000936999309 -> 17
-936999309 -> 10
1098670713 -> 10
1098670713 -> 10
1098670713 -> 10
0000001098670713 -> 16
1098670713 -> 10
1098670713 -> 10
1098670713 -> 10
1098670713 -> 10
1098670713 -> 10
1098670713 -> 10
0000001098670713 -> 16
1098670713 -> 10
1727289611 -> 10
1727289611 -> 10
1727289611 -> 10
0000001727289611 -> 16
1727289611 -> 10
1727289611 -> 10
1727289611 -> 10
1727289611 -> 10
1727289611 -> 10
1727289611 -> 10
0000001727289611 -> 16
1727289611 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-815409959 -> 10
-0000000815409959 -> 17
-815409959 -> 10
987119867 -> 9
987119867 -> 9
987119867 -> 9
0000000987119867 -> 16
987119867 -> 9
987119867 -> 9
987119867 -> 9
987119867 -> 9
987119867 -> 9
987119867 -> 9
0000000987119867 -> 16
987119867 -> 9
790204970 -> 9
790204970 -> 9
790204970 -> 9
0000000790204970 -> 16
790204970 -> 9
790204970 -> 9
790204970 -> 9
790204970 -> 9
790204970 -> 9
790204970 -> 9
0000000790204970 -> 16
790204970 -> 9
-1714975244 -> 11
-1714975244 -> 11
-1714975244 -> 11
-0000001714975244 -> 17
-1714975244 -> 11
-1714975244 -> 11
-1714975244 -> 11
-1714975244 -> 11
-1714975244 -> 11
-1714975244 -> 11
-0000001714975244 -> 17
-1714975244 -> 11
-282729822 -> 10
-282729822 -> 10
-282729822 -> 10
-0000000282729822 -> 17
-282729822 -> 10
-282729822 -> 10
-282729822 -> 10
-282729822 -> 10
-282729822 -> 10
-282729822 -> 10
-0000000282729822 -> 17
-282729822 -> 10
1773868988 -> 10
1773868988 -> 10
1773868988 -> 10
0000001773868988 -> 16
1773868988 -> 10
1773868988 -> 10
1773868988 -> 10
1773868988 -> 10
1773868988 -> 10
1773868988 -> 10
0000001773868988 -> 16
1773868988 -> 10
-98742266 -> 9
-98742266 -> 9
-98742266 -> 9
-0000000098742266 -> 17
-98742266 -> 9
-98742266 -> 9
-98742266 -> 9
-98742266 -> 9
-98742266 -> 9
-98742266 -> 9
-0000000098742266 -> 17
-98742266 -> 9
stderr 0
