stdout 3840
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 6
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 2
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 5
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
ft_atoi() -> 0
