stdout 7158
ft_isalnum(12345) -> 0
ft_isalnum(-740551042) -> 0
ft_isalnum(-1492899873) -> 0
ft_isalnum(-698016724) -> 0
ft_isalnum(229283573) -> 0
ft_isalnum(-1038148470) -> 0
ft_isalnum(1051550459) -> 0
ft_isalnum(-853684456) -> 0
ft_isalnum(-1353011855) -> 0
ft_isalnum(551188310) -> 0
ft_isalnum(-1343933481) -> 0
ft_isalnum(1772930244) -> 0
ft_isalnum(-1776570451) -> 0
ft_isalnum(639546082) -> 0
ft_isalnum(1381971571) -> 0
ft_isalnum(1695770928) -> 0
ft_isalnum(2121308585) -> 0
ft_isalnum(-428270802) -> 0
ft_isalnum(-1150499121) -> 0
ft_isalnum(1157490780) -> 0
ft_isalnum(-804247707) -> 0
ft_isalnum(-1610630086) -> 0
ft_isalnum(1511588075) -> 0
ft_isalnum(1538207304) -> 0
ft_isalnum(2103497953) -> 0
ft_isalnum(-1440914938) -> 0
ft_isalnum(-1190870841) -> 0
ft_isalnum(-626202892) -> 0
ft_isalnum(1588911645) -> 0
ft_isalnum(-1776445294) -> 0
ft_isalnum(33727075) -> 0
ft_isalnum(1680572000) -> 0
ft_isalnum(88489753) -> 0
ft_isalnum(-864506914) -> 0
ft_isalnum(527630783) -> 0
ft_isalnum(1194991756) -> 0
ft_isalnum(-1041058859) -> 0
ft_isalnum(-1293965334) -> 0
ft_isalnum(-1755317541) -> 0
ft_isalnum(1387182456) -> 0
ft_isalnum(1538766929) -> 0
ft_isalnum(654858422) -> 0
ft_isalnum(-61249097) -> 0
ft_isalnum(-355338972) -> 0
ft_isalnum(-1309767539) -> 0
ft_isalnum(-633779646) -> 0
ft_isalnum(-1877939629) -> 0
ft_isalnum(-842317936) -> 0
ft_isalnum(1179132041) -> 0
ft_isalnum(-644495218) -> 0
ft_isalnum(1941297327) -> 0
ft_isalnum(-1295203140) -> 0
ft_isalnum(1787378757) -> 0
ft_isalnum(1328144282) -> 0
ft_isalnum(-2112794421) -> 0
ft_isalnum(-1342213976) -> 0
ft_isalnum(-1912186943) -> 0
ft_isalnum(1203133286) -> 0
ft_isalnum(-1352520025) -> 0
ft_isalnum(321843028) -> 0
ft_isalnum(-421548291) -> 0
ft_isalnum(154978290) -> 0
ft_isalnum(-1963389373) -> 0
ft_isalnum(422948032) -> 0
ft_isalnum(1929199097) -> 0
ft_isalnum(1179349310) -> 0
ft_isalnum(1049906079) -> 0
ft_isalnum(-1339501332) -> 0
ft_isalnum(214614197) -> 0
ft_isalnum(973693770) -> 0
ft_isalnum(662438587) -> 0
ft_isalnum(809784280) -> 0
ft_isalnum(263435057) -> 0
ft_isalnum(2030201366) -> 0
ft_isalnum(-446820457) -> 0
ft_isalnum(-1214851708) -> 0
ft_isalnum(-933277331) -> 0
ft_isalnum(45289890) -> 0
ft_isalnum(2062159411) -> 0
ft_isalnum(-1804745232) -> 0
ft_isalnum(-1397975191) -> 0
ft_isalnum(-539712018) -> 0
ft_isalnum(-601007473) -> 0
ft_isalnum(-360623844) -> 0
ft_isalnum(393101605) -> 0
ft_isalnum(1500066554) -> 0
ft_isalnum(112136363) -> 0
ft_isalnum(2128634632) -> 0
ft_isalnum(65456801) -> 0
ft_isalnum(-1803057978) -> 0
ft_isalnum(2135690375) -> 0
ft_isalnum(1453107124) -> 0
ft_isalnum(84176861) -> 0
ft_isalnum(518465362) -> 0
ft_isalnum(-774706653) -> 0
ft_isalnum(-1808364768) -> 0
ft_isalnum(1952263385) -> 0
ft_isalnum(-1205049698) -> 0
ft_isalnum(1851786623) -> 0
ft_isalnum(-1077331636) -> 0
ft_isalnum(-1796555371) -> 0
ft_isalnum(1676955306) -> 0
ft_isalnum(7961243) -> 0
ft_isalnum(1710661176) -> 0
ft_isalnum(629579281) -> 0
ft_isalnum(-1868518538) -> 0
ft_isalnum(468395383) -> 0
ft_isalnum(-1181522460) -> 0
ft_isalnum(-1624896947) -> 0
ft_isalnum(-555480830) -> 0
ft_isalnum(-614292973) -> 0
ft_isalnum(-1542259632) -> 0
ft_isalnum(450231881) -> 0
ft_isalnum(-703745202) -> 0
ft_isalnum(-859091857) -> 0
ft_isalnum(1890815356) -> 0
ft_isalnum(-1686686203) -> 0
ft_isalnum(-1860848038) -> 0
ft_isalnum(1198145675) -> 0
ft_isalnum(-26606232) -> 0
ft_isalnum(926559617) -> 0
ft_isalnum(812178982) -> 0
ft_isalnum(129653351) -> 0
ft_isalnum(613290004) -> 0
ft_isalnum(1557864637) -> 0
ft_isalnum(-1670072654) -> 0
ft_isalnum(-1391970813) -> 0
ft_isalnum(-1236919936) -> 0
ft_isalnum(815664057) -> 0
ft_isalnum(-453800962) -> 0
ft_isalnum(1959669599) -> 0
ft_isalnum(1353928108) -> 0
ft_isalnum(-1123374475) -> 0
ft_isalnum(1224239626) -> 0
ft_isalnum(1339056763) -> 0
ft_isalnum(-539125608) -> 0
ft_isalnum(1936226545) -> 0
ft_isalnum(-1279583018) -> 0
ft_isalnum(754494295) -> 0
ft_isalnum(-2040551868) -> 0
ft_isalnum(939176749) -> 0
