stdout 2578
ft_isalpha(0) -> 0
ft_isalpha(1) -> 0
ft_isalpha(2) -> 0
ft_isalpha(3) -> 0
ft_isalpha(4) -> 0
ft_isalpha(5) -> 0
ft_isalpha(6) -> 0
ft_isalpha(7) -> 0
ft_isalpha(8) -> 0
ft_isalpha(9) -> 0
ft_isalpha(10) -> 0
ft_isalpha(11) -> 0
ft_isalpha(12) -> 0
ft_isalpha(13) -> 0
ft_isalpha(14) -> 0
ft_isalpha(15) -> 0
ft_isalpha(16) -> 0
ft_isalpha(17) -> 0
ft_isalpha(18) -> 0
ft_isalpha(19) -> 0
ft_isalpha(20) -> 0
ft_isalpha(21) -> 0
ft_isalpha(22) -> 0
ft_isalpha(23) -> 0
ft_isalpha(24) -> 0
ft_isalpha(25) -> 0
ft_isalpha(26) -> 0
ft_isalpha(27) -> 0
ft_isalpha(28) -> 0
ft_isalpha(29) -> 0
ft_isalpha(30) -> 0
ft_isalpha(31) -> 0
ft_isalpha(32) -> 0
ft_isalpha(33) -> 0
ft_isalpha(34) -> 0
ft_isalpha(35) -> 0
ft_isalpha(36) -> 0
ft_isalpha(37) -> 0
ft_isalpha(38) -> 0
ft_isalpha(39) -> 0
ft_isalpha(40) -> 0
ft_isalpha(41) -> 0
ft_isalpha(42) -> 0
ft_isalpha(43) -> 0
ft_isalpha(44) -> 0
ft_isalpha(45) -> 0
ft_isalpha(46) -> 0
ft_isalpha(47) -> 0
ft_isalpha(48) -> 0
ft_isalpha(49) -> 0
ft_isalpha(50) -> 0
ft_isalpha(51) -> 0
ft_isalpha(52) -> 0
ft_isalpha(53) -> 0
ft_isalpha(54) -> 0
ft_isalpha(55) -> 0
ft_isalpha(56) -> 0
ft_isalpha(57) -> 0
ft_isalpha(58) -> 0
ft_isalpha(59) -> 0
ft_isalpha(60) -> 0
ft_isalpha(61) -> 0
ft_isalpha(62) -> 0
ft_isalpha(63) -> 0
ft_isalpha(64) -> 0
ft_isalpha(65) -> 1
ft_isalpha(66) -> 1
ft_isalpha(67) -> 1
ft_isalpha(68) -> 1
ft_isalpha(69) -> 1
ft_isalpha(70) -> 1
ft_isalpha(71) -> 1
ft_isalpha(72) -> 1
ft_isalpha(73) -> 1
ft_isalpha(74) -> 1
ft_isalpha(75) -> 1
ft_isalpha(76) -> 1
ft_isalpha(77) -> 1
ft_isalpha(78) -> 1
ft_isalpha(79) -> 1
ft_isalpha(80) -> 1
ft_isalpha(81) -> 1
ft_isalpha(82) -> 1
ft_isalpha(83) -> 1
ft_isalpha(84) -> 1
ft_isalpha(85) -> 1
ft_isalpha(86) -> 1
ft_isalpha(87) -> 1
ft_isalpha(88) -> 1
ft_isalpha(89) -> 1
ft_isalpha(90) -> 1
ft_isalpha(91) -> 0
ft_isalpha(92) -> 0
ft_isalpha(93) -> 0
ft_isalpha(94) -> 0
ft_isalpha(95) -> 0
ft_isalpha(96) -> 0
ft_isalpha(97) -> 1
ft_isalpha(98) -> 1
ft_isalpha(99) -> 1
ft_isalpha(100) -> 1
ft_isalpha(101) -> 1
ft_isalpha(102) -> 1
ft_isalpha(103) -> 1
ft_isalpha(104) -> 1
ft_isalpha(105) -> 1
ft_isalpha(106) -> 1
ft_isalpha(107) -> 1
ft_isalpha(108) -> 1
ft_isalpha(109) -> 1
ft_isalpha(110) -> 1
ft_isalpha(111) -> 1
ft_isalpha(112) -> 1
ft_isalpha(113) -> 1
ft_isalpha(114) -> 1
ft_isalpha(115) -> 1
ft_isalpha(116) -> 1
ft_isalpha(117) -> 1
ft_isalpha(118) -> 1
ft_isalpha(119) -> 1
ft_isalpha(120) -> 1
ft_isalpha(121) -> 1
ft_isalpha(122) -> 1
ft_isalpha(123) -> 0
ft_isalpha(124) -> 0
ft_isalpha(125) -> 0
ft_isalpha(126) -> 0
ft_isalpha(127) -> 0
stderr 0
