stdout 7158
ft_isalpha(12345) -> 0
ft_isalpha(-740551042) -> 0
ft_isalpha(-1492899873) -> 0
ft_isalpha(-698016724) -> 0
ft_isalpha(229283573) -> 0
ft_isalpha(-1038148470) -> 0
ft_isalpha(1051550459) -> 0
ft_isalpha(-853684456) -> 0
ft_isalpha(-1353011855) -> 0
ft_isalpha(551188310) -> 0
ft_isalpha(-1343933481) -> 0
ft_isalpha(1772930244) -> 0
ft_isalpha(-1776570451) -> 0
ft_isalpha(639546082) -> 0
ft_isalpha(1381971571) -> 0
ft_isalpha(1695770928) -> 0
ft_isalpha(2121308585) -> 0
ft_isalpha(-428270802) -> 0
ft_isalpha(-1150499121) -> 0
ft_isalpha(1157490780) -> 0
ft_isalpha(-804247707) -> 0
ft_isalpha(-1610630086) -> 0
ft_isalpha(1511588075) -> 0
ft_isalpha(1538207304) -> 0
ft_isalpha(2103497953) -> 0
ft_isalpha(-1440914938) -> 0
ft_isalpha(-1190870841) -> 0
ft_isalpha(-626202892) -> 0
ft_isalpha(1588911645) -> 0
ft_isalpha(-1776445294) -> 0
ft_isalpha(33727075) -> 0
ft_isalpha(1680572000) -> 0
ft_isalpha(88489753) -> 0
ft_isalpha(-864506914) -> 0
ft_isalpha(527630783) -> 0
ft_isalpha(1194991756) -> 0
ft_isalpha(-1041058859) -> 0
ft_isalpha(-1293965334) -> 0
ft_isalpha(-1755317541) -> 0
ft_isalpha(1387182456) -> 0
ft_isalpha(1538766929) -> 0
ft_isalpha(654858422) -> 0
ft_isalpha(-61249097) -> 0
ft_isalpha(-355338972) -> 0
ft_isalpha(-1309767539) -> 0
ft_isalpha(-633779646) -> 0
ft_isalpha(-1877939629) -> 0
ft_isalpha(-842317936) -> 0
ft_isalpha(1179132041) -> 0
ft_isalpha(-644495218) -> 0
ft_isalpha(1941297327) -> 0
ft_isalpha(-1295203140) -> 0
ft_isalpha(1787378757) -> 0
ft_isalpha(1328144282) -> 0
ft_isalpha(-2112794421) -> 0
ft_isalpha(-1342213976) -> 0
ft_isalpha(-1912186943) -> 0
ft_isalpha(1203133286) -> 0
ft_isalpha(-1352520025) -> 0
ft_isalpha(321843028) -> 0
ft_isalpha(-421548291) -> 0
ft_isalpha(154978290) -> 0
ft_isalpha(-1963389373) -> 0
ft_isalpha(422948032) -> 0
ft_isalpha(1929199097) -> 0
ft_isalpha(1179349310) -> 0
ft_isalpha(1049906079) -> 0
ft_isalpha(-1339501332) -> 0
ft_isalpha(214614197) -> 0
ft_isalpha(973693770) -> 0
ft_isalpha(662438587) -> 0
ft_isalpha(809784280) -> 0
ft_isalpha(263435057) -> 0
ft_isalpha(2030201366) -> 0
ft_isalpha(-446820457) -> 0
ft_isalpha(-1214851708) -> 0
ft_isalpha(-933277331) -> 0
ft_isalpha(45289890) -> 0
ft_isalpha(2062159411) -> 0
ft_isalpha(-1804745232) -> 0
ft_isalpha(-1397975191) -> 0
ft_isalpha(-539712018) -> 0
ft_isalpha(-601007473) -> 0
ft_isalpha(-360623844) -> 0
ft_isalpha(393101605) -> 0
ft_isalpha(1500066554) -> 0
ft_isalpha(112136363) -> 0
ft_isalpha(2128634632) -> 0
ft_isalpha(65456801) -> 0
ft_isalpha(-1803057978) -> 0
ft_isalpha(2135690375) -> 0
ft_isalpha(1453107124) -> 0
ft_isalpha(84176861) -> 0
ft_isalpha(518465362) -> 0
ft_isalpha(-774706653) -> 0
ft_isalpha(-1808364768) -> 0
ft_isalpha(1952263385) -> 0
ft_isalpha(-1205049698) -> 0
ft_isalpha(1851786623) -> 0
ft_isalpha(-1077331636) -> 0
ft_isalpha(-1796555371) -> 0
ft_isalpha(1676955306) -> 0
ft_isalpha(7961243) -> 0
ft_isalpha(1710661176) -> 0
ft_isalpha(629579281) -> 0
ft_isalpha(-1868518538) -> 0
ft_isalpha(468395383) -> 0
ft_isalpha(-1181522460) -> 0
ft_isalpha(-1624896947) -> 0
ft_isalpha(-555480830) -> 0
ft_isalpha(-614292973) -> 0
ft_isalpha(-1542259632) -> 0
ft_isalpha(450231881) -> 0
ft_isalpha(-703745202) -> 0
ft_isalpha(-859091857) -> 0
ft_isalpha(1890815356) -> 0
ft_isalpha(-1686686203) -> 0
ft_isalpha(-1860848038) -> 0
ft_isalpha(1198145675) -> 0
ft_isalpha(-26606232) -> 0
ft_isalpha(926559617) -> 0
ft_isalpha(812178982) -> 0
ft_isalpha(129653351) -> 0
ft_isalpha(613290004) -> 0
ft_isalpha(1557864637) -> 0
ft_isalpha(-1670072654) -> 0
ft_isalpha(-1391970813) -> 0
ft_isalpha(-1236919936) -> 0
ft_isalpha(815664057) -> 0
ft_isalpha(-453800962) -> 0
ft_isalpha(1959669599) -> 0
ft_isalpha(1353928108) -> 0
ft_isalpha(-1123374475) -> 0
ft_isalpha(1224239626) -> 0
ft_isalpha(1339056763) -> 0
ft_isalpha(-539125608) -> 0
ft_isalpha(1936226545) -> 0
ft_isalpha(-1279583018) -> 0
ft_isalpha(754494295) -> 0
ft_isalpha(-2040551868) -> 0
ft_isalpha(939176749) -> 0
ft_isalpha(975450210) -> 0
ft_isalpha(368223731) -> 0
ft_isalpha(1406329520) -> 0
ft_isalpha(-168012503) -> 0
ft_isalpha(-451350354) -> 0
ft_isalpha(2038935119) -> 0
ft_isalpha(-168068644) -> 0
ft_isalpha(2002524901) -> 0
ft_isalpha(-729323078) -> 0
ft_isalpha(-1078271893) -> 0
ft_isalpha(1353996232) -> 0
ft_isalpha(-63405983) -> 0
ft_isalpha(-2026739834) -> 0
ft_isalpha(61151303) -> 0
ft_isalpha(-1466226572) -> 0
ft_isalpha(-837041763) -> 0
ft_isalpha(-750946798) -> 0
ft_isalpha(-1894714909) -> 0
ft_isalpha(-864266272) -> 0
ft_isalpha(-889726311) -> 0
ft_isalpha(-612834978) -> 0
ft_isalpha(1943456063) -> 0
ft_isalpha(1769935372) -> 0
ft_isalpha(-1545435307) -> 0
