stdout 5286
ft_isalpha(-128) -> 0
ft_isalpha(-127) -> 0
ft_isalpha(-126) -> 0
ft_isalpha(-125) -> 0
ft_isalpha(-124) -> 0
ft_isalpha(-123) -> 0
ft_isalpha(-122) -> 0
ft_isalpha(-121) -> 0
ft_isalpha(-120) -> 0
ft_isalpha(-119) -> 0
ft_isalpha(-118) -> 0
ft_isalpha(-117) -> 0
ft_isalpha(-116) -> 0
ft_isalpha(-115) -> 0
ft_isalpha(-114) -> 0
ft_isalpha(-113) -> 0
ft_isalpha(-112) -> 0
ft_isalpha(-111) -> 0
ft_isalpha(-110) -> 0
ft_isalpha(-109) -> 0
ft_isalpha(-108) -> 0
ft_isalpha(-107) -> 0
ft_isalpha(-106) -> 0
ft_isalpha(-105) -> 0
ft_isalpha(-104) -> 0
ft_isalpha(-103) -> 0
ft_isalpha(-102) -> 0
ft_isalpha(-101) -> 0
ft_isalpha(-100) -> 0
ft_isalpha(-99) -> 0
ft_isalpha(-98) -> 0
ft_isalpha(-97) -> 0
ft_isalpha(-96) -> 0
ft_isalpha(-95) -> 0
ft_isalpha(-94) -> 0
ft_isalpha(-93) -> 0
ft_isalpha(-92) -> 0
ft_isalpha(-91) -> 0
ft_isalpha(-90) -> 0
ft_isalpha(-89) -> 0
ft_isalpha(-88) -> 0
ft_isalpha(-87) -> 0
ft_isalpha(-86) -> 0
ft_isalpha(-85) -> 0
ft_isalpha(-84) -> 0
ft_isalpha(-83) -> 0
ft_isalpha(-82) -> 0
ft_isalpha(-81) -> 0
ft_isalpha(-80) -> 0
ft_isalpha(-79) -> 0
ft_isalpha(-78) -> 0
ft_isalpha(-77) -> 0
ft_isalpha(-76) -> 0
ft_isalpha(-75) -> 0
ft_isalpha(-74) -> 0
ft_isalpha(-73) -> 0
ft_isalpha(-72) -> 0
ft_isalpha(-71) -> 0
ft_isalpha(-70) -> 0
ft_isalpha(-69) -> 0
ft_isalpha(-68) -> 0
ft_isalpha(-67) -> 0
ft_isalpha(-66) -> 0
ft_isalpha(-65) -> 0
ft_isalpha(-64) -> 0
ft_isalpha(-63) -> 0
ft_isalpha(-62) -> 0
ft_isalpha(-61) -> 0
ft_isalpha(-60) -> 0
ft_isalpha(-59) -> 0
ft_isalpha(-58) -> 0
ft_isalpha(-57) -> 0
ft_isalpha(-56) -> 0
ft_isalpha(-55) -> 0
ft_isalpha(-54) -> 0
ft_isalpha(-53) -> 0
ft_isalpha(-52) -> 0
ft_isalpha(-51) -> 0
ft_isalpha(-50) -> 0
ft_isalpha(-49) -> 0
ft_isalpha(-48) -> 0
ft_isalpha(-47) -> 0
ft_isalpha(-46) -> 0
ft_isalpha(-45) -> 0
ft_isalpha(-44) -> 0
ft_isalpha(-43) -> 0
ft_isalpha(-42) -> 0
ft_isalpha(-41) -> 0
ft_isalpha(-40) -> 0
ft_isalpha(-39) -> 0
ft_isalpha(-38) -> 0
ft_isalpha(-37) -> 0
ft_isalpha(-36) -> 0
ft_isalpha(-35) -> 0
ft_isalpha(-34) -> 0
ft_isalpha(-33) -> 0
ft_isalpha(-32) -> 0
ft_isalpha(-31) -> 0
ft_isalpha(-30) -> 0
ft_isalpha(-29) -> 0
ft_isalpha(-28) -> 0
ft_isalpha(-27) -> 0
ft_isalpha(-26) -> 0
ft_isalpha(-25) -> 0
ft_isalpha(-24) -> 0
ft_isalpha(-23) -> 0
ft_isalpha(-22) -> 0
ft_isalpha(-21) -> 0
ft_isalpha(-20) -> 0
ft_isalpha(-19) -> 0
ft_isalpha(-18) -> 0
ft_isalpha(-17) -> 0
ft_isalpha(-16) -> 0
ft_isalpha(-15) -> 0
ft_isalpha(-14) -> 0
ft_isalpha(-13) -> 0
ft_isalpha(-12) -> 0
ft_isalpha(-11) -> 0
ft_isalpha(-10) -> 0
ft_isalpha(-9) -> 0
ft_isalpha(-8) -> 0
ft_isalpha(-7) -> 0
ft_isalpha(-6) -> 0
ft_isalpha(-5) -> 0
ft_isalpha(-4) -> 0
ft_isalpha(-3) -> 0
ft_isalpha(-2) -> 0
ft_isalpha(-1) -> 0
ft_isalpha(0) -> 0
ft_isalpha(1) -> 0
ft_isalpha(2) -> 0
ft_isalpha(3) -> 0
ft_isalpha(4) -> 0
ft_isalpha(5) -> 0
ft_isalpha(6) -> 0
ft_isalpha(7) -> 0
ft_isalpha(8) -> 0
ft_isalpha(9) -> 0
ft_isalpha(10) -> 0
ft_isalpha(11) -> 0
ft_isalpha(12) -> 0
ft_isalpha(13) -> 0
ft_isalpha(14) -> 0
ft_isalpha(15) -> 0
ft_isalpha(16) -> 0
ft_isalpha(17) -> 0
ft_isalpha(18) -> 0
ft_isalpha(19) -> 0
ft_isalpha(20) -> 0
ft_isalpha(21) -> 0
ft_isalpha(22) -> 0
ft_isalpha(23) -> 0
ft_isalpha(24) -> 0
ft_isalpha(25) -> 0
ft_isalpha(26) -> 0
ft_isalpha(27) -> 0
ft_isalpha(28) -> 0
ft_isalpha(29) -> 0
ft_isalpha(30) -> 0
ft_isalpha(31) -> 0
ft_isalpha(32) -> 0
ft_isalpha(33) -> 0
ft_isalpha(34) -> 0
ft_isalpha(35) -> 0
ft_isalpha(36) -> 0
ft_isalpha(37) -> 0
ft_isalpha(38) -> 0
ft_isalpha(39) -> 0
ft_isalpha(40) -> 0
ft_isalpha(41) -> 0
ft_isalpha(42) -> 0
ft_isalpha(43) -> 0
ft_isalpha(44) -> 0
ft_isalpha(45) -> 0
ft_isalpha(46) -> 0
ft_isalpha(47) -> 0
ft_isalpha(48) -> 0
ft_isalpha(49) -> 0
ft_isalpha(50) -> 0
ft_isalpha(51) -> 0
ft_isalpha(52) -> 0
ft_isalpha(53) -> 0
ft_isalpha(54) -> 0
ft_isalpha(55) -> 0
ft_isalpha(56) -> 0
ft_isalpha(57) -> 0
ft_isalpha(58) -> 0
ft_isalpha(59) -> 0
ft_isalpha(60) -> 0
ft_isalpha(61) -> 0
ft_isalpha(62) -> 0
ft_isalpha(63) -> 0
ft_isalpha(64) -> 0
ft_isalpha(65) -> 1
ft_isalpha(66) -> 1
ft_isalpha(67) -> 1
ft_isalpha(68) -> 1
ft_isalpha(69) -> 1
ft_isalpha(70) -> 1
ft_isalpha(71) -> 1
ft_isalpha(72) -> 1
ft_isalpha(73) -> 1
ft_isalpha(74) -> 1
ft_isalpha(75) -> 1
ft_isalpha(76) -> 1
ft_isalpha(77) -> 1
ft_isalpha(78) -> 1
ft_isalpha(79) -> 1
ft_isalpha(80) -> 1
ft_isalpha(81) -> 1
ft_isalpha(82) -> 1
