stdout 5266
ft_isalpha(0) -> 0
ft_isalpha(1) -> 0
ft_isalpha(2) -> 0
ft_isalpha(3) -> 0
ft_isalpha(4) -> 0
ft_isalpha(5) -> 0
ft_isalpha(6) -> 0
ft_isalpha(7) -> 0
ft_isalpha(8) -> 0
ft_isalpha(9) -> 0
ft_isalpha(10) -> 0
ft_isalpha(11) -> 0
ft_isalpha(12) -> 0
ft_isalpha(13) -> 0
ft_isalpha(14) -> 0
ft_isalpha(15) -> 0
ft_isalpha(16) -> 0
ft_isalpha(17) -> 0
ft_isalpha(18) -> 0
ft_isalpha(19) -> 0
ft_isalpha(20) -> 0
ft_isalpha(21) -> 0
ft_isalpha(22) -> 0
ft_isalpha(23) -> 0
ft_isalpha(24) -> 0
ft_isalpha(25) -> 0
ft_isalpha(26) -> 0
ft_isalpha(27) -> 0
ft_isalpha(28) -> 0
ft_isalpha(29) -> 0
ft_isalpha(30) -> 0
ft_isalpha(31) -> 0
ft_isalpha(32) -> 0
ft_isalpha(33) -> 0
ft_isalpha(34) -> 0
ft_isalpha(35) -> 0
ft_isalpha(36) -> 0
ft_isalpha(37) -> 0
ft_isalpha(38) -> 0
ft_isalpha(39) -> 0
ft_isalpha(40) -> 0
ft_isalpha(41) -> 0
ft_isalpha(42) -> 0
ft_isalpha(43) -> 0
ft_isalpha(44) -> 0
ft_isalpha(45) -> 0
ft_isalpha(46) -> 0
ft_isalpha(47) -> 0
ft_isalpha(48) -> 0
ft_isalpha(49) -> 0
ft_isalpha(50) -> 0
ft_isalpha(51) -> 0
ft_isalpha(52) -> 0
ft_isalpha(53) -> 0
ft_isalpha(54) -> 0
ft_isalpha(55) -> 0
ft_isalpha(56) -> 0
ft_isalpha(57) -> 0
ft_isalpha(58) -> 0
ft_isalpha(59) -> 0
ft_isalpha(60) -> 0
ft_isalpha(61) -> 0
ft_isalpha(62) -> 0
ft_isalpha(63) -> 0
ft_isalpha(64) -> 0
ft_isalpha(65) -> 1
ft_isalpha(66) -> 1
ft_isalpha(67) -> 1
ft_isalpha(68) -> 1
ft_isalpha(69) -> 1
ft_isalpha(70) -> 1
ft_isalpha(71) -> 1
ft_isalpha(72) -> 1
ft_isalpha(73) -> 1
ft_isalpha(74) -> 1
ft_isalpha(75) -> 1
ft_isalpha(76) -> 1
ft_isalpha(77) -> 1
ft_isalpha(78) -> 1
ft_isalpha(79) -> 1
ft_isalpha(80) -> 1
ft_isalpha(81) -> 1
ft_isalpha(82) -> 1
ft_isalpha(83) -> 1
ft_isalpha(84) -> 1
ft_isalpha(85) -> 1
ft_isalpha(86) -> 1
ft_isalpha(87) -> 1
ft_isalpha(88) -> 1
ft_isalpha(89) -> 1
ft_isalpha(90) -> 1
ft_isalpha(91) -> 0
ft_isalpha(92) -> 0
ft_isalpha(93) -> 0
ft_isalpha(94) -> 0
ft_isalpha(95) -> 0
ft_isalpha(96) -> 0
ft_isalpha(97) -> 1
ft_isalpha(98) -> 1
ft_isalpha(99) -> 1
ft_isalpha(100) -> 1
ft_isalpha(101) -> 1
ft_isalpha(102) -> 1
ft_isalpha(103) -> 1
ft_isalpha(104) -> 1
ft_isalpha(105) -> 1
ft_isalpha(106) -> 1
ft_isalpha(107) -> 1
ft_isalpha(108) -> 1
ft_isalpha(109) -> 1
ft_isalpha(110) -> 1
ft_isalpha(111) -> 1
ft_isalpha(112) -> 1
ft_isalpha(113) -> 1
ft_isalpha(114) -> 1
ft_isalpha(115) -> 1
ft_isalpha(116) -> 1
ft_isalpha(117) -> 1
ft_isalpha(118) -> 1
ft_isalpha(119) -> 1
ft_isalpha(120) -> 1
ft_isalpha(121) -> 1
ft_isalpha(122) -> 1
ft_isalpha(123) -> 0
ft_isalpha(124) -> 0
ft_isalpha(125) -> 0
ft_isalpha(126) -> 0
ft_isalpha(127) -> 0
ft_isalpha(128) -> 0
ft_isalpha(129) -> 0
ft_isalpha(130) -> 0
ft_isalpha(131) -> 0
ft_isalpha(132) -> 0
ft_isalpha(133) -> 0
ft_isalpha(134) -> 0
ft_isalpha(135) -> 0
ft_isalpha(136) -> 0
ft_isalpha(137) -> 0
ft_isalpha(138) -> 0
ft_isalpha(139) -> 0
ft_isalpha(140) -> 0
ft_isalpha(141) -> 0
ft_isalpha(142) -> 0
ft_isalpha(143) -> 0
ft_isalpha(144) -> 0
ft_isalpha(145) -> 0
ft_isalpha(146) -> 0
ft_isalpha(147) -> 0
ft_isalpha(148) -> 0
ft_isalpha(149) -> 0
ft_isalpha(150) -> 0
ft_isalpha(151) -> 0
ft_isalpha(152) -> 0
ft_isalpha(153) -> 0
ft_isalpha(154) -> 0
ft_isalpha(155) -> 0
ft_isalpha(156) -> 0
ft_isalpha(157) -> 0
ft_isalpha(158) -> 0
ft_isalpha(159) -> 0
ft_isalpha(160) -> 0
ft_isalpha(161) -> 0
ft_isalpha(162) -> 0
ft_isalpha(163) -> 0
ft_isalpha(164) -> 0
ft_isalpha(165) -> 0
ft_isalpha(166) -> 0
ft_isalpha(167) -> 0
ft_isalpha(168) -> 0
ft_isalpha(169) -> 0
ft_isalpha(170) -> 0
ft_isalpha(171) -> 0
ft_isalpha(172) -> 0
ft_isalpha(173) -> 0
ft_isalpha(174) -> 0
ft_isalpha(175) -> 0
ft_isalpha(176) -> 0
ft_isalpha(177) -> 0
ft_isalpha(178) -> 0
ft_isalpha(179) -> 0
ft_isalpha(180) -> 0
ft_isalpha(181) -> 0
ft_isalpha(182) -> 0
ft_isalpha(183) -> 0
ft_isalpha(184) -> 0
ft_isalpha(185) -> 0
ft_isalpha(186) -> 0
ft_isalpha(187) -> 0
ft_isalpha(188) -> 0
ft_isalpha(189) -> 0
ft_isalpha(190) -> 0
ft_isalpha(191) -> 0
ft_isalpha(192) -> 0
ft_isalpha(193) -> 0
ft_isalpha(194) -> 0
ft_isalpha(195) -> 0
ft_isalpha(196) -> 0
ft_isalpha(197) -> 0
ft_isalpha(198) -> 0
ft_isalpha(199) -> 0
ft_isalpha(200) -> 0
ft_isalpha(201) -> 0
ft_isalpha(202) -> 0
ft_isalpha(203) -> 0
ft_isalpha(204) -> 0
ft_isalpha(205) -> 0
ft_isalpha(206) -> 0
ft_isalpha(207) -> 0
ft_isalpha(208) -> 0
ft_isalpha(209) -> 0
ft_isalpha(210) -> 0
ft_isalpha(211) -> 0
ft_isalpha(212) -> 0
ft_isalpha(213) -> 0
ft_isalpha(214) -> 0
ft_isalpha(215) -> 0
ft_isalpha(216) -> 0
ft_isalpha(217) -> 0
ft_isalpha(218) -> 0
ft_isalpha(219) -> 0
ft_isalpha(220) -> 0
ft_isalpha(221) -> 0
ft_isalpha(222) -> 0
ft_isalpha(223) -> 0
ft_isalpha(224) -> 0
ft_isalpha(225) -> 0
ft_isalpha(226) -> 0
ft_isalpha(227) -> 0
ft_isalpha(228) -> 0
ft_isalpha(229) -> 0
ft_isalpha(230) -> 0
ft_isalpha(231) -> 0
ft_isalpha(232) -> 0
ft_isalpha(233) -> 0
ft_isalpha(234) -> 0
ft_isalpha(235) -> 0
ft_isalpha(236) -> 0
ft_isalpha(237) -> 0
ft_isalpha(238) -> 0
ft_isalpha(239) -> 0
ft_isalpha(240) -> 0
ft_isalpha(241) -> 0
ft_isalpha(242) -> 0
ft_isalpha(243) -> 0
ft_isalpha(244) -> 0
ft_isalpha(245) -> 0
ft_isalpha(246) -> 0
ft_isalpha(247) -> 0
ft_isalpha(248) -> 0
ft_isalpha(249) -> 0
ft_isalpha(250) -> 0
ft_isalpha(251) -> 0
ft_isalpha(252) -> 0
ft_isalpha(253) -> 0
ft_isalpha(254) -> 0
ft_isalpha(255) -> 0
stderr 0
