stdout 2578
ft_isascii(0) -> 1
ft_isascii(1) -> 1
ft_isascii(2) -> 1
ft_isascii(3) -> 1
ft_isascii(4) -> 1
ft_isascii(5) -> 1
ft_isascii(6) -> 1
ft_isascii(7) -> 1
ft_isascii(8) -> 1
ft_isascii(9) -> 1
ft_isascii(10) -> 1
ft_isascii(11) -> 1
ft_isascii(12) -> 1
ft_isascii(13) -> 1
ft_isascii(14) -> 1
ft_isascii(15) -> 1
ft_isascii(16) -> 1
ft_isascii(17) -> 1
ft_isascii(18) -> 1
ft_isascii(19) -> 1
ft_isascii(20) -> 1
ft_isascii(21) -> 1
ft_isascii(22) -> 1
ft_isascii(23) -> 1
ft_isascii(24) -> 1
ft_isascii(25) -> 1
ft_isascii(26) -> 1
ft_isascii(27) -> 1
ft_isascii(28) -> 1
ft_isascii(29) -> 1
ft_isascii(30) -> 1
ft_isascii(31) -> 1
ft_isascii(32) -> 1
ft_isascii(33) -> 1
ft_isascii(34) -> 1
ft_isascii(35) -> 1
ft_isascii(36) -> 1
ft_isascii(37) -> 1
ft_isascii(38) -> 1
ft_isascii(39) -> 1
ft_isascii(40) -> 1
ft_isascii(41) -> 1
ft_isascii(42) -> 1
ft_isascii(43) -> 1
ft_isascii(44) -> 1
ft_isascii(45) -> 1
ft_isascii(46) -> 1
ft_isascii(47) -> 1
ft_isascii(48) -> 1
ft_isascii(49) -> 1
ft_isascii(50) -> 1
ft_isascii(51) -> 1
ft_isascii(52) -> 1
ft_isascii(53) -> 1
ft_isascii(54) -> 1
ft_isascii(55) -> 1
ft_isascii(56) -> 1
ft_isascii(57) -> 1
ft_isascii(58) -> 1
ft_isascii(59) -> 1
ft_isascii(60) -> 1
ft_isascii(61) -> 1
ft_isascii(62) -> 1
ft_isascii(63) -> 1
ft_isascii(64) -> 1
ft_isascii(65) -> 1
ft_isascii(66) -> 1
ft_isascii(67) -> 1
ft_isascii(68) -> 1
ft_isascii(69) -> 1
ft_isascii(70) -> 1
ft_isascii(71) -> 1
ft_isascii(72) -> 1
ft_isascii(73) -> 1
ft_isascii(74) -> 1
ft_isascii(75) -> 1
ft_isascii(76) -> 1
ft_isascii(77) -> 1
ft_isascii(78) -> 1
ft_isascii(79) -> 1
ft_isascii(80) -> 1
ft_isascii(81) -> 1
ft_isascii(82) -> 1
ft_isascii(83) -> 1
ft_isascii(84) -> 1
ft_isascii(85) -> 1
ft_isascii(86) -> 1
ft_isascii(87) -> 1
ft_isascii(88) -> 1
ft_isascii(89) -> 1
ft_isascii(90) -> 1
ft_isascii(91) -> 1
ft_isascii(92) -> 1
ft_isascii(93) -> 1
ft_isascii(94) -> 1
ft_isascii(95) -> 1
ft_isascii(96) -> 1
ft_isascii(97) -> 1
ft_isascii(98) -> 1
ft_isascii(99) -> 1
ft_isascii(100) -> 1
ft_isascii(101) -> 1
ft_isascii(102) -> 1
ft_isascii(103) -> 1
ft_isascii(104) -> 1
ft_isascii(105) -> 1
ft_isascii(106) -> 1
ft_isascii(107) -> 1
ft_isascii(108) -> 1
ft_isascii(109) -> 1
ft_isascii(110) -> 1
ft_isascii(111) -> 1
ft_isascii(112) -> 1
ft_isascii(113) -> 1
ft_isascii(114) -> 1
ft_isascii(115) -> 1
ft_isascii(116) -> 1
ft_isascii(117) -> 1
ft_isascii(118) -> 1
ft_isascii(119) -> 1
ft_isascii(120) -> 1
ft_isascii(121) -> 1
ft_isascii(122) -> 1
ft_isascii(123) -> 1
ft_isascii(124) -> 1
ft_isascii(125) -> 1
ft_isascii(126) -> 1
ft_isascii(127) -> 1
stderr 0
