stdout 7158
ft_isascii(12345) -> 0
ft_isascii(-740551042) -> 0
ft_isascii(-1492899873) -> 0
ft_isascii(-698016724) -> 0
ft_isascii(229283573) -> 0
ft_isascii(-1038148470) -> 0
ft_isascii(1051550459) -> 0
ft_isascii(-853684456) -> 0
ft_isascii(-1353011855) -> 0
ft_isascii(551188310) -> 0
ft_isascii(-1343933481) -> 0
ft_isascii(1772930244) -> 0
ft_isascii(-1776570451) -> 0
ft_isascii(639546082) -> 0
ft_isascii(1381971571) -> 0
ft_isascii(1695770928) -> 0
ft_isascii(2121308585) -> 0
ft_isascii(-428270802) -> 0
ft_isascii(-1150499121) -> 0
ft_isascii(1157490780) -> 0
ft_isascii(-804247707) -> 0
ft_isascii(-1610630086) -> 0
ft_isascii(1511588075) -> 0
ft_isascii(1538207304) -> 0
ft_isascii(2103497953) -> 0
ft_isascii(-1440914938) -> 0
ft_isascii(-1190870841) -> 0
ft_isascii(-626202892) -> 0
ft_isascii(1588911645) -> 0
ft_isascii(-1776445294) -> 0
ft_isascii(33727075) -> 0
ft_isascii(1680572000) -> 0
ft_isascii(88489753) -> 0
ft_isascii(-864506914) -> 0
ft_isascii(527630783) -> 0
ft_isascii(1194991756) -> 0
ft_isascii(-1041058859) -> 0
ft_isascii(-1293965334) -> 0
ft_isascii(-1755317541) -> 0
ft_isascii(1387182456) -> 0
ft_isascii(1538766929) -> 0
ft_isascii(654858422) -> 0
ft_isascii(-61249097) -> 0
ft_isascii(-355338972) -> 0
ft_isascii(-1309767539) -> 0
ft_isascii(-633779646) -> 0
ft_isascii(-1877939629) -> 0
ft_isascii(-842317936) -> 0
ft_isascii(1179132041) -> 0
ft_isascii(-644495218) -> 0
ft_isascii(1941297327) -> 0
ft_isascii(-1295203140) -> 0
ft_isascii(1787378757) -> 0
ft_isascii(1328144282) -> 0
ft_isascii(-2112794421) -> 0
ft_isascii(-1342213976) -> 0
ft_isascii(-1912186943) -> 0
ft_isascii(1203133286) -> 0
ft_isascii(-1352520025) -> 0
ft_isascii(321843028) -> 0
ft_isascii(-421548291) -> 0
ft_isascii(154978290) -> 0
ft_isascii(-1963389373) -> 0
ft_isascii(422948032) -> 0
ft_isascii(1929199097) -> 0
ft_isascii(1179349310) -> 0
ft_isascii(1049906079) -> 0
ft_isascii(-1339501332) -> 0
ft_isascii(214614197) -> 0
ft_isascii(973693770) -> 0
ft_isascii(662438587) -> 0
ft_isascii(809784280) -> 0
ft_isascii(263435057) -> 0
ft_isascii(2030201366) -> 0
ft_isascii(-446820457) -> 0
ft_isascii(-1214851708) -> 0
ft_isascii(-933277331) -> 0
ft_isascii(45289890) -> 0
ft_isascii(2062159411) -> 0
ft_isascii(-1804745232) -> 0
ft_isascii(-1397975191) -> 0
ft_isascii(-539712018) -> 0
ft_isascii(-601007473) -> 0
ft_isascii(-360623844) -> 0
ft_isascii(393101605) -> 0
ft_isascii(1500066554) -> 0
ft_isascii(112136363) -> 0
ft_isascii(2128634632) -> 0
ft_isascii(65456801) -> 0
ft_isascii(-1803057978) -> 0
ft_isascii(2135690375) -> 0
ft_isascii(1453107124) -> 0
ft_isascii(84176861) -> 0
ft_isascii(518465362) -> 0
ft_isascii(-774706653) -> 0
ft_isascii(-1808364768) -> 0
ft_isascii(1952263385) -> 0
ft_isascii(-1205049698) -> 0
ft_isascii(1851786623) -> 0
ft_isascii(-1077331636) -> 0
ft_isascii(-1796555371) -> 0
ft_isascii(1676955306) -> 0
ft_isascii(7961243) -> 0
ft_isascii(1710661176) -> 0
ft_isascii(629579281) -> 0
ft_isascii(-1868518538) -> 0
ft_isascii(468395383) -> 0
ft_isascii(-1181522460) -> 0
ft_isascii(-1624896947) -> 0
ft_isascii(-555480830) -> 0
ft_isascii(-614292973) -> 0
ft_isascii(-1542259632) -> 0
ft_isascii(450231881) -> 0
ft_isascii(-703745202) -> 0
ft_isascii(-859091857) -> 0
ft_isascii(1890815356) -> 0
ft_isascii(-1686686203) -> 0
ft_isascii(-1860848038) -> 0
ft_isascii(1198145675) -> 0
ft_isascii(-26606232) -> 0
ft_isascii(926559617) -> 0
ft_isascii(812178982) -> 0
ft_isascii(129653351) -> 0
ft_isascii(613290004) -> 0
ft_isascii(1557864637) -> 0
ft_isascii(-1670072654) -> 0
ft_isascii(-1391970813) -> 0
ft_isascii(-1236919936) -> 0
ft_isascii(815664057) -> 0
ft_isascii(-453800962) -> 0
ft_isascii(1959669599) -> 0
ft_isascii(1353928108) -> 0
ft_isascii(-1123374475) -> 0
ft_isascii(1224239626) -> 0
ft_isascii(1339056763) -> 0
ft_isascii(-539125608) -> 0
ft_isascii(1936226545) -> 0
ft_isascii(-1279583018) -> 0
ft_isascii(754494295) -> 0
ft_isascii(-2040551868) -> 0
ft_isascii(939176749) -> 0
ft_isascii(975450210) -> 0
ft_isascii(368223731) -> 0
ft_isascii(1406329520) -> 0
ft_isascii(-168012503) -> 0
ft_isascii(-451350354) -> 0
ft_isascii(2038935119) -> 0
ft_isascii(-168068644) -> 0
ft_isascii(2002524901) -> 0
ft_isascii(-729323078) -> 0
ft_isascii(-1078271893) -> 0
ft_isascii(1353996232) -> 0
ft_isascii(-63405983) -> 0
ft_isascii(-2026739834) -> 0
ft_isascii(61151303) -> 0
ft_isascii(-1466226572) -> 0
ft_isascii(-837041763) -> 0
ft_isascii(-750946798) -> 0
ft_isascii(-1894714909) -> 0
ft_isascii(-864266272) -> 0
ft_isascii(-889726311) -> 0
ft_isascii(-612834978) -> 0
ft_isascii(1943456063) -> 0
ft_isascii(1769935372) -> 0
ft_isascii(-1545435307) -> 0
ft_isascii(225293674) -> 0
ft_isascii(1593358939) -> 0
ft_isascii(1980842744) -> 0
ft_isascii(1267811281) -> 0
ft_isascii(-198590922) -> 0
ft_isascii(-2122407625) -> 0
ft_isascii(1603507876) -> 0
ft_isascii(-795522035) -> 0
ft_isascii(1808500674) -> 0
ft_isascii(722606547) -> 0
ft_isascii(1724217616) -> 0
ft_isascii(-1621648375) -> 0
ft_isascii(-2117181938) -> 0
ft_isascii(1918533679) -> 0
ft_isascii(1458640444) -> 0
ft_isascii(-405475387) -> 0
ft_isascii(236342554) -> 0
ft_isascii(119074891) -> 0
ft_isascii(-2083038680) -> 0
ft_isascii(-1558592703) -> 0
ft_isascii(-792977178) -> 0
ft_isascii(168052263) -> 0
ft_isascii(-1168379692) -> 0
ft_isascii(1954435709) -> 0
ft_isascii(-1600559758) -> 0
ft_isascii(-2040193597) -> 0
ft_isascii(-1880013248) -> 0
ft_isascii(1654823289) -> 0
ft_isascii(-158046530) -> 0
ft_isascii(-378416353) -> 0
ft_isascii(1019512428) -> 0
ft_isascii(606753845) -> 0
ft_isascii(-508809014) -> 0
ft_isascii(-1821736389) -> 0
ft_isascii(-324428456) -> 0
ft_isascii(2084110001) -> 0
ft_isascii(801410966) -> 0
ft_isascii(1584727831) -> 0
ft_isascii(851916548) -> 0
ft_isascii(-491924243) -> 0
ft_isascii(1462898466) -> 0
ft_isascii(-1221001805) -> 0
ft_isascii(201506672) -> 0
ft_isascii(1948242665) -> 0
ft_isascii(1829108590) -> 0
ft_isascii(-1556364785) -> 0
ft_isascii(-1674812772) -> 0
ft_isascii(-442911579) -> 0
ft_isascii(874143866) -> 0
ft_isascii(-788762581) -> 0
ft_isascii(-1846866808) -> 0
ft_isascii(-132778463) -> 0
ft_isascii(282987078) -> 0
ft_isascii(-1915755513) -> 0
ft_isascii(-580359884) -> 0
ft_isascii(-1480928419) -> 0
ft_isascii(1843430610) -> 0
ft_isascii(1031584163) -> 0
ft_isascii(633136288) -> 0
ft_isascii(316033113) -> 0
ft_isascii(-585229282) -> 0
ft_isascii(-1349038849) -> 0
ft_isascii(689679052) -> 0
ft_isascii(-728100587) -> 0
ft_isascii(34331690) -> 0
ft_isascii(1855830555) -> 0
ft_isascii(-205609032) -> 0
ft_isascii(1335339409) -> 0
ft_isascii(274960630) -> 0
ft_isascii(-455877385) -> 0
ft_isascii(-1718450332) -> 0
ft_isascii(603737549) -> 0
ft_isascii(1806681730) -> 0
ft_isascii(-220245613) -> 0
ft_isascii(-559761968) -> 0
ft_isascii(-846399031) -> 0
ft_isascii(-1281898290) -> 0
ft_isascii(1411609583) -> 0
ft_isascii(-96116996) -> 0
ft_isascii(627206533) -> 0
ft_isascii(1223402458) -> 0
ft_isascii(-321036277) -> 0
ft_isascii(1627877096) -> 0
ft_isascii(1130699009) -> 0
ft_isascii(393225126) -> 0
ft_isascii(-570428953) -> 0
ft_isascii(1096323476) -> 0
ft_isascii(-74890179) -> 0
ft_isascii(812307506) -> 0
ft_isascii(-87046781) -> 0
ft_isascii(519516928) -> 0
stderr 0
return 0
