stdout 5286
ft_isascii(-128) -> 0
ft_isascii(-127) -> 0
ft_isascii(-126) -> 0
ft_isascii(-125) -> 0
ft_isascii(-124) -> 0
ft_isascii(-123) -> 0
ft_isascii(-122) -> 0
ft_isascii(-121) -> 0
ft_isascii(-120) -> 0
ft_isascii(-119) -> 0
ft_isascii(-118) -> 0
ft_isascii(-117) -> 0
ft_isascii(-116) -> 0
ft_isascii(-115) -> 0
ft_isascii(-114) -> 0
ft_isascii(-113) -> 0
ft_isascii(-112) -> 0
ft_isascii(-111) -> 0
ft_isascii(-110) -> 0
ft_isascii(-109) -> 0
ft_isascii(-108) -> 0
ft_isascii(-107) -> 0
ft_isascii(-106) -> 0
ft_isascii(-105) -> 0
ft_isascii(-104) -> 0
ft_isascii(-103) -> 0
ft_isascii(-102) -> 0
ft_isascii(-101) -> 0
ft_isascii(-100) -> 0
ft_isascii(-99) -> 0
ft_isascii(-98) -> 0
ft_isascii(-97) -> 0
ft_isascii(-96) -> 0
ft_isascii(-95) -> 0
ft_isascii(-94) -> 0
ft_isascii(-93) -> 0
ft_isascii(-92) -> 0
ft_isascii(-91) -> 0
ft_isascii(-90) -> 0
ft_isascii(-89) -> 0
ft_isascii(-88) -> 0
ft_isascii(-87) -> 0
ft_isascii(-86) -> 0
ft_isascii(-85) -> 0
ft_isascii(-84) -> 0
ft_isascii(-83) -> 0
ft_isascii(-82) -> 0
ft_isascii(-81) -> 0
ft_isascii(-80) -> 0
ft_isascii(-79) -> 0
ft_isascii(-78) -> 0
ft_isascii(-77) -> 0
ft_isascii(-76) -> 0
ft_isascii(-75) -> 0
ft_isascii(-74) -> 0
ft_isascii(-73) -> 0
ft_isascii(-72) -> 0
ft_isascii(-71) -> 0
ft_isascii(-70) -> 0
ft_isascii(-69) -> 0
ft_isascii(-68) -> 0
ft_isascii(-67) -> 0
ft_isascii(-66) -> 0
ft_isascii(-65) -> 0
ft_isascii(-64) -> 0
ft_isascii(-63) -> 0
ft_isascii(-62) -> 0
ft_isascii(-61) -> 0
ft_isascii(-60) -> 0
ft_isascii(-59) -> 0
ft_isascii(-58) -> 0
ft_isascii(-57) -> 0
ft_isascii(-56) -> 0
ft_isascii(-55) -> 0
ft_isascii(-54) -> 0
ft_isascii(-53) -> 0
ft_isascii(-52) -> 0
ft_isascii(-51) -> 0
ft_isascii(-50) -> 0
ft_isascii(-49) -> 0
ft_isascii(-48) -> 0
ft_isascii(-47) -> 0
ft_isascii(-46) -> 0
ft_isascii(-45) -> 0
ft_isascii(-44) -> 0
ft_isascii(-43) -> 0
ft_isascii(-42) -> 0
ft_isascii(-41) -> 0
ft_isascii(-40) -> 0
ft_isascii(-39) -> 0
ft_isascii(-38) -> 0
ft_isascii(-37) -> 0
ft_isascii(-36) -> 0
ft_isascii(-35) -> 0
ft_isascii(-34) -> 0
ft_isascii(-33) -> 0
ft_isascii(-32) -> 0
ft_isascii(-31) -> 0
ft_isascii(-30) -> 0
ft_isascii(-29) -> 0
ft_isascii(-28) -> 0
ft_isascii(-27) -> 0
ft_isascii(-26) -> 0
ft_isascii(-25) -> 0
ft_isascii(-24) -> 0
ft_isascii(-23) -> 0
ft_isascii(-22) -> 0
ft_isascii(-21) -> 0
ft_isascii(-20) -> 0
ft_isascii(-19) -> 0
ft_isascii(-18) -> 0
ft_isascii(-17) -> 0
ft_isascii(-16) -> 0
ft_isascii(-15) -> 0
ft_isascii(-14) -> 0
ft_isascii(-13) -> 0
ft_isascii(-12) -> 0
ft_isascii(-11) -> 0
ft_isascii(-10) -> 0
ft_isascii(-9) -> 0
ft_isascii(-8) -> 0
ft_isascii(-7) -> 0
ft_isascii(-6) -> 0
ft_isascii(-5) -> 0
ft_isascii(-4) -> 0
ft_isascii(-3) -> 0
ft_isascii(-2) -> 0
ft_isascii(-1) -> 0
ft_isascii(0) -> 1
ft_isascii(1) -> 1
ft_isascii(2) -> 1
ft_isascii(3) -> 1
ft_isascii(4) -> 1
ft_isascii(5) -> 1
ft_isascii(6) -> 1
ft_isascii(7) -> 1
ft_isascii(8) -> 1
ft_isascii(9) -> 1
ft_isascii(10) -> 1
ft_isascii(11) -> 1
ft_isascii(12) -> 1
ft_isascii(13) -> 1
ft_isascii(14) -> 1
ft_isascii(15) -> 1
ft_isascii(16) -> 1
ft_isascii(17) -> 1
ft_isascii(18) -> 1
ft_isascii(19) -> 1
ft_isascii(20) -> 1
ft_isascii(21) -> 1
ft_isascii(22) -> 1
ft_isascii(23) -> 1
ft_isascii(24) -> 1
ft_isascii(25) -> 1
ft_isascii(26) -> 1
ft_isascii(27) -> 1
ft_isascii(28) -> 1
ft_isascii(29) -> 1
ft_isascii(30) -> 1
ft_isascii(31) -> 1
ft_isascii(32) -> 1
ft_isascii(33) -> 1
ft_isascii(34) -> 1
ft_isascii(35) -> 1
ft_isascii(36) -> 1
ft_isascii(37) -> 1
ft_isascii(38) -> 1
ft_isascii(39) -> 1
ft_isascii(40) -> 1
ft_isascii(41) -> 1
ft_isascii(42) -> 1
ft_isascii(43) -> 1
ft_isascii(44) -> 1
ft_isascii(45) -> 1
ft_isascii(46) -> 1
ft_isascii(47) -> 1
ft_isascii(48) -> 1
ft_isascii(49) -> 1
ft_isascii(50) -> 1
ft_isascii(51) -> 1
ft_isascii(52) -> 1
ft_isascii(53) -> 1
ft_isascii(54) -> 1
ft_isascii(55) -> 1
ft_isascii(56) -> 1
ft_isascii(57) -> 1
ft_isascii(58) -> 1
ft_isascii(59) -> 1
ft_isascii(60) -> 1
ft_isascii(61) -> 1
ft_isascii(62) -> 1
ft_isascii(63) -> 1
ft_isascii(64) -> 1
ft_isascii(65) -> 1
ft_isascii(66) -> 1
ft_isascii(67) -> 1
ft_isascii(68) -> 1
ft_isascii(69) -> 1
ft_isascii(70) -> 1
ft_isascii(71) -> 1
ft_isascii(72) -> 1
ft_isascii(73) -> 1
ft_isascii(74) -> 1
ft_isascii(75) -> 1
ft_isascii(76) -> 1
ft_isascii(77) -> 1
ft_isascii(78) -> 1
ft_isascii(79) -> 1
ft_isascii(80) -> 1
ft_isascii(81) -> 1
ft_isascii(82) -> 1
ft_isascii(83) -> 1
ft_isascii(84) -> 1
ft_isascii(85) -> 1
ft_isascii(86) -> 1
ft_isascii(87) -> 1
ft_isascii(88) -> 1
ft_isascii(89) -> 1
ft_isascii(90) -> 1
ft_isascii(91) -> 1
ft_isascii(92) -> 1
ft_isascii(93) -> 1
ft_isascii(94) -> 1
ft_isascii(95) -> 1
ft_isascii(96) -> 1
ft_isascii(97) -> 1
ft_isascii(98) -> 1
ft_isascii(99) -> 1
ft_isascii(100) -> 1
ft_isascii(101) -> 1
ft_isascii(102) -> 1
ft_isascii(103) -> 1
ft_isascii(104) -> 1
ft_isascii(105) -> 1
ft_isascii(106) -> 1
ft_isascii(107) -> 1
ft_isascii(108) -> 1
ft_isascii(109) -> 1
ft_isascii(110) -> 1
ft_isascii(111) -> 1
ft_isascii(112) -> 1
ft_isascii(113) -> 1
ft_isascii(114) -> 1
ft_isascii(115) -> 1
