stdout 5266
ft_isascii(0) -> 1
ft_isascii(1) -> 1
ft_isascii(2) -> 1
ft_isascii(3) -> 1
ft_isascii(4) -> 1
ft_isascii(5) -> 1
ft_isascii(6) -> 1
ft_isascii(7) -> 1
ft_isascii(8) -> 1
ft_isascii(9) -> 1
ft_isascii(10) -> 1
ft_isascii(11) -> 1
ft_isascii(12) -> 1
ft_isascii(13) -> 1
ft_isascii(14) -> 1
ft_isascii(15) -> 1
ft_isascii(16) -> 1
ft_isascii(17) -> 1
ft_isascii(18) -> 1
ft_isascii(19) -> 1
ft_isascii(20) -> 1
ft_isascii(21) -> 1
ft_isascii(22) -> 1
ft_isascii(23) -> 1
ft_isascii(24) -> 1
ft_isascii(25) -> 1
ft_isascii(26) -> 1
ft_isascii(27) -> 1
ft_isascii(28) -> 1
ft_isascii(29) -> 1
ft_isascii(30) -> 1
ft_isascii(31) -> 1
ft_isascii(32) -> 1
ft_isascii(33) -> 1
ft_isascii(34) -> 1
ft_isascii(35) -> 1
ft_isascii(36) -> 1
ft_isascii(37) -> 1
ft_isascii(38) -> 1
ft_isascii(39) -> 1
ft_isascii(40) -> 1
ft_isascii(41) -> 1
ft_isascii(42) -> 1
ft_isascii(43) -> 1
ft_isascii(44) -> 1
ft_isascii(45) -> 1
ft_isascii(46) -> 1
ft_isascii(47) -> 1
ft_isascii(48) -> 1
ft_isascii(49) -> 1
ft_isascii(50) -> 1
ft_isascii(51) -> 1
ft_isascii(52) -> 1
ft_isascii(53) -> 1
ft_isascii(54) -> 1
ft_isascii(55) -> 1
ft_isascii(56) -> 1
ft_isascii(57) -> 1
ft_isascii(58) -> 1
ft_isascii(59) -> 1
ft_isascii(60) -> 1
ft_isascii(61) -> 1
ft_isascii(62) -> 1
ft_isascii(63) -> 1
ft_isascii(64) -> 1
ft_isascii(65) -> 1
ft_isascii(66) -> 1
ft_isascii(67) -> 1
ft_isascii(68) -> 1
ft_isascii(69) -> 1
ft_isascii(70) -> 1
