stdout 2578
ft_isdigit(0) -> 0
ft_isdigit(1) -> 0
ft_isdigit(2) -> 0
ft_isdigit(3) -> 0
ft_isdigit(4) -> 0
ft_isdigit(5) -> 0
ft_isdigit(6) -> 0
ft_isdigit(7) -> 0
ft_isdigit(8) -> 0
ft_isdigit(9) -> 0
ft_isdigit(10) -> 0
ft_isdigit(11) -> 0
ft_isdigit(12) -> 0
ft_isdigit(13) -> 0
ft_isdigit(14) -> 0
ft_isdigit(15) -> 0
ft_isdigit(16) -> 0
ft_isdigit(17) -> 0
ft_isdigit(18) -> 0
ft_isdigit(19) -> 0
ft_isdigit(20) -> 0
ft_isdigit(21) -> 0
ft_isdigit(22) -> 0
ft_isdigit(23) -> 0
ft_isdigit(24) -> 0
ft_isdigit(25) -> 0
ft_isdigit(26) -> 0
ft_isdigit(27) -> 0
ft_isdigit(28) -> 0
ft_isdigit(29) -> 0
ft_isdigit(30) -> 0
ft_isdigit(31) -> 0
ft_isdigit(32) -> 0
ft_isdigit(33) -> 0
ft_isdigit(34) -> 0
ft_isdigit(35) -> 0
ft_isdigit(36) -> 0
ft_isdigit(37) -> 0
ft_isdigit(38) -> 0
ft_isdigit(39) -> 0
ft_isdigit(40) -> 0
ft_isdigit(41) -> 0
ft_isdigit(42) -> 0
ft_isdigit(43) -> 0
ft_isdigit(44) -> 0
ft_isdigit(45) -> 0
ft_isdigit(46) -> 0
ft_isdigit(47) -> 0
ft_isdigit(48) -> 1
ft_isdigit(49) -> 1
ft_isdigit(50) -> 1
ft_isdigit(51) -> 1
ft_isdigit(52) -> 1
ft_isdigit(53) -> 1
ft_isdigit(54) -> 1
ft_isdigit(55) -> 1
ft_isdigit(56) -> 1
ft_isdigit(57) -> 1
ft_isdigit(58) -> 0
ft_isdigit(59) -> 0
ft_isdigit(60) -> 0
ft_isdigit(61) -> 0
ft_isdigit(62) -> 0
ft_isdigit(63) -> 0
ft_isdigit(64) -> 0
ft_isdigit(65) -> 0
ft_isdigit(66) -> 0
ft_isdigit(67) -> 0
ft_isdigit(68) -> 0
ft_isdigit(69) -> 0
ft_isdigit(70) -> 0
ft_isdigit(71) -> 0
ft_isdigit(72) -> 0
ft_isdigit(73) -> 0
ft_isdigit(74) -> 0
ft_isdigit(75) -> 0
ft_isdigit(76) -> 0
ft_isdigit(77) -> 0
ft_isdigit(78) -> 0
ft_isdigit(79) -> 0
ft_isdigit(80) -> 0
ft_isdigit(81) -> 0
ft_isdigit(82) -> 0
ft_isdigit(83) -> 0
ft_isdigit(84) -> 0
ft_isdigit(85) -> 0
ft_isdigit(86) -> 0
ft_isdigit(87) -> 0
ft_isdigit(88) -> 0
ft_isdigit(89) -> 0
ft_isdigit(90) -> 0
ft_isdigit(91) -> 0
ft_isdigit(92) -> 0
ft_isdigit(93) -> 0
ft_isdigit(94) -> 0
ft_isdigit(95) -> 0
ft_isdigit(96) -> 0
ft_isdigit(97) -> 0
ft_isdigit(98) -> 0
ft_isdigit(99) -> 0
ft_isdigit(100) -> 0
ft_isdigit(101) -> 0
ft_isdigit(102) -> 0
ft_isdigit(103) -> 0
ft_isdigit(104) -> 0
ft_isdigit(105) -> 0
ft_isdigit(106) -> 0
ft_isdigit(107) -> 0
ft_isdigit(108) -> 0
ft_isdigit(109) -> 0
ft_isdigit(110) -> 0
ft_isdigit(111) -> 0
ft_isdigit(112) -> 0
ft_isdigit(113) -> 0
ft_isdigit(114) -> 0
ft_isdigit(115) -> 0
ft_isdigit(116) -> 0
ft_isdigit(117) -> 0
ft_isdigit(118) -> 0
ft_isdigit(119) -> 0
ft_isdigit(120) -> 0
ft_isdigit(121) -> 0
ft_isdigit(122) -> 0
ft_isdigit(123) -> 0
ft_isdigit(124) -> 0
ft_isdigit(125) -> 0
ft_isdigit(126) -> 0
ft_isdigit(127) -> 0
stderr 0
return 0
