stdout 7158
ft_isdigit(12345) -> 0
ft_isdigit(-740551042) -> 0
ft_isdigit(-1492899873) -> 0
ft_isdigit(-698016724) -> 0
ft_isdigit(229283573) -> 0
ft_isdigit(-1038148470) -> 0
ft_isdigit(1051550459) -> 0
ft_isdigit(-853684456) -> 0
ft_isdigit(-1353011855) -> 0
ft_isdigit(551188310) -> 0
ft_isdigit(-1343933481) -> 0
ft_isdigit(1772930244) -> 0
ft_isdigit(-1776570451) -> 0
ft_isdigit(639546082) -> 0
ft_isdigit(1381971571) -> 0
ft_isdigit(1695770928) -> 0
ft_isdigit(2121308585) -> 0
ft_isdigit(-428270802) -> 0
ft_isdigit(-1150499121) -> 0
ft_isdigit(1157490780) -> 0
ft_isdigit(-804247707) -> 0
ft_isdigit(-1610630086) -> 0
ft_isdigit(1511588075) -> 0
ft_isdigit(1538207304) -> 0
ft_isdigit(2103497953) -> 0
ft_isdigit(-1440914938) -> 0
ft_isdigit(-1190870841) -> 0
ft_isdigit(-626202892) -> 0
ft_isdigit(1588911645) -> 0
ft_isdigit(-1776445294) -> 0
ft_isdigit(33727075) -> 0
ft_isdigit(1680572000) -> 0
ft_isdigit(88489753) -> 0
ft_isdigit(-864506914) -> 0
ft_isdigit(527630783) -> 0
ft_isdigit(1194991756) -> 0
ft_isdigit(-1041058859) -> 0
ft_isdigit(-1293965334) -> 0
ft_isdigit(-1755317541) -> 0
ft_isdigit(1387182456) -> 0
ft_isdigit(1538766929) -> 0
ft_isdigit(654858422) -> 0
ft_isdigit(-61249097) -> 0
ft_isdigit(-355338972) -> 0
ft_isdigit(-1309767539) -> 0
ft_isdigit(-633779646) -> 0
ft_isdigit(-1877939629) -> 0
ft_isdigit(-842317936) -> 0
ft_isdigit(1179132041) -> 0
ft_isdigit(-644495218) -> 0
ft_isdigit(1941297327) -> 0
ft_isdigit(-1295203140) -> 0
ft_isdigit(1787378757) -> 0
ft_isdigit(1328144282) -> 0
ft_isdigit(-2112794421) -> 0
ft_isdigit(-1342213976) -> 0
ft_isdigit(-1912186943) -> 0
ft_isdigit(1203133286) -> 0
ft_isdigit(-1352520025) -> 0
ft_isdigit(321843028) -> 0
ft_isdigit(-421548291) -> 0
ft_isdigit(154978290) -> 0
ft_isdigit(-1963389373) -> 0
ft_isdigit(422948032) -> 0
ft_isdigit(1929199097) -> 0
ft_isdigit(1179349310) -> 0
ft_isdigit(1049906079) -> 0
ft_isdigit(-1339501332) -> 0
ft_isdigit(214614197) -> 0
ft_isdigit(973693770) -> 0
ft_isdigit(662438587) -> 0
ft_isdigit(809784280) -> 0
ft_isdigit(263435057) -> 0
ft_isdigit(2030201366) -> 0
ft_isdigit(-446820457) -> 0
ft_isdigit(-1214851708) -> 0
ft_isdigit(-933277331) -> 0
ft_isdigit(45289890) -> 0
ft_isdigit(2062159411) -> 0
ft_isdigit(-1804745232) -> 0
ft_isdigit(-1397975191) -> 0
ft_isdigit(-539712018) -> 0
ft_isdigit(-601007473) -> 0
ft_isdigit(-360623844) -> 0
ft_isdigit(393101605) -> 0
ft_isdigit(1500066554) -> 0
ft_isdigit(112136363) -> 0
ft_isdigit(2128634632) -> 0
ft_isdigit(65456801) -> 0
ft_isdigit(-1803057978) -> 0
ft_isdigit(2135690375) -> 0
ft_isdigit(1453107124) -> 0
ft_isdigit(84176861) -> 0
ft_isdigit(518465362) -> 0
ft_isdigit(-774706653) -> 0
ft_isdigit(-1808364768) -> 0
ft_isdigit(1952263385) -> 0
ft_isdigit(-1205049698) -> 0
ft_isdigit(1851786623) -> 0
ft_isdigit(-1077331636) -> 0
ft_isdigit(-1796555371) -> 0
ft_isdigit(1676955306) -> 0
ft_isdigit(7961243) -> 0
ft_isdigit(1710661176) -> 0
ft_isdigit(629579281) -> 0
ft_isdigit(-1868518538) -> 0
ft_isdigit(468395383) -> 0
ft_isdigit(-1181522460) -> 0
ft_isdigit(-1624896947) -> 0
ft_isdigit(-555480830) -> 0
ft_isdigit(-614292973) -> 0
ft_isdigit(-1542259632) -> 0
ft_isdigit(450231881) -> 0
ft_isdigit(-703745202) -> 0
ft_isdigit(-859091857) -> 0
ft_isdigit(1890815356) -> 0
ft_isdigit(-1686686203) -> 0
ft_isdigit(-1860848038) -> 0
ft_isdigit(1198145675) -> 0
ft_isdigit(-26606232) -> 0
ft_isdigit(926559617) -> 0
ft_isdigit(812178982) -> 0
ft_isdigit(129653351) -> 0
ft_isdigit(613290004) -> 0
ft_isdigit(1557864637) -> 0
ft_isdigit(-1670072654) -> 0
ft_isdigit(-1391970813) -> 0
ft_isdigit(-1236919936) -> 0
ft_isdigit(815664057) -> 0
ft_isdigit(-453800962) -> 0
ft_isdigit(1959669599) -> 0
ft_isdigit(1353928108) -> 0
ft_isdigit(-1123374475) -> 0
ft_isdigit(1224239626) -> 0
ft_isdigit(1339056763) -> 0
ft_isdigit(-539125608) -> 0
ft_isdigit(1936226545) -> 0
ft_isdigit(-1279583018) -> 0
ft_isdigit(754494295) -> 0
ft_isdigit(-2040551868) -> 0
ft_isdigit(939176749) -> 0
ft_isdigit(975450210) -> 0
ft_isdigit(368223731) -> 0
ft_isdigit(1406329520) -> 0
ft_isdigit(-168012503) -> 0
ft_isdigit(-451350354) -> 0
ft_isdigit(2038935119) -> 0
ft_isdigit(-168068644) -> 0
ft_isdigit(2002524901) -> 0
ft_isdigit(-729323078) -> 0
ft_isdigit(-1078271893) -> 0
ft_isdigit(1353996232) -> 0
ft_isdigit(-63405983) -> 0
ft_isdigit(-2026739834) -> 0
ft_isdigit(61151303) -> 0
ft_isdigit(-1466226572) -> 0
ft_isdigit(-837041763) -> 0
ft_isdigit(-750946798) -> 0
ft_isdigit(-1894714909) -> 0
ft_isdigit(-864266272) -> 0
ft_isdigit(-889726311) -> 0
ft_isdigit(-612834978) -> 0
ft_isdigit(1943456063) -> 0
ft_isdigit(1769935372) -> 0
ft_isdigit(-1545435307) -> 0
ft_isdigit(225293674) -> 0
ft_isdigit(1593358939) -> 0
ft_isdigit(1980842744) -> 0
ft_isdigit(1267811281) -> 0
ft_isdigit(-198590922) -> 0
ft_isdigit(-2122407625) -> 0
ft_isdigit(1603507876) -> 0
ft_isdigit(-795522035) -> 0
ft_isdigit(1808500674) -> 0
ft_isdigit(722606547) -> 0
ft_isdigit(1724217616) -> 0
ft_isdigit(-1621648375) -> 0
ft_isdigit(-2117181938) -> 0
ft_isdigit(1918533679) -> 0
ft_isdigit(1458640444) -> 0
ft_isdigit(-405475387) -> 0
ft_isdigit(236342554) -> 0
ft_isdigit(119074891) -> 0
ft_isdigit(-2083038680) -> 0
ft_isdigit(-1558592703) -> 0
ft_isdigit(-792977178) -> 0
ft_isdigit(168052263) -> 0
ft_isdigit(-1168379692) -> 0
ft_isdigit(1954435709) -> 0
ft_isdigit(-1600559758) -> 0
ft_isdigit(-2040193597) -> 0
ft_isdigit(-1880013248) -> 0
ft_isdigit(1654823289) -> 0
ft_isdigit(-158046530) -> 0
ft_isdigit(-378416353) -> 0
ft_isdigit(1019512428) -> 0
ft_isdigit(606753845) -> 0
ft_isdigit(-508809014) -> 0
ft_isdigit(-1821736389) -> 0
ft_isdigit(-324428456) -> 0
ft_isdigit(2084110001) -> 0
ft_isdigit(801410966) -> 0
ft_isdigit(1584727831) -> 0
ft_isdigit(851916548) -> 0
ft_isdigit(-491924243) -> 0
