stdout 5266
ft_isdigit(0) -> 0
ft_isdigit(1) -> 0
ft_isdigit(2) -> 0
ft_isdigit(3) -> 0
ft_isdigit(4) -> 0
ft_isdigit(5) -> 0
ft_isdigit(6) -> 0
ft_isdigit(7) -> 0
ft_isdigit(8) -> 0
ft_isdigit(9) -> 0
ft_isdigit(10) -> 0
ft_isdigit(11) -> 0
ft_isdigit(12) -> 0
ft_isdigit(13) -> 0
ft_isdigit(14) -> 0
ft_isdigit(15) -> 0
ft_isdigit(16) -> 0
ft_isdigit(17) -> 0
ft_isdigit(18) -> 0
ft_isdigit(19) -> 0
ft_isdigit(20) -> 0
ft_isdigit(21) -> 0
ft_isdigit(22) -> 0
ft_isdigit(23) -> 0
ft_isdigit(24) -> 0
ft_isdigit(25) -> 0
ft_isdigit(26) -> 0
ft_isdigit(27) -> 0
ft_isdigit(28) -> 0
ft_isdigit(29) -> 0
ft_isdigit(30) -> 0
ft_isdigit(31) -> 0
ft_isdigit(32) -> 0
ft_isdigit(33) -> 0
ft_isdigit(34) -> 0
ft_isdigit(35) -> 0
ft_isdigit(36) -> 0
ft_isdigit(37) -> 0
ft_isdigit(38) -> 0
ft_isdigit(39) -> 0
ft_isdigit(40) -> 0
ft_isdigit(41) -> 0
ft_isdigit(42) -> 0
ft_isdigit(43) -> 0
ft_isdigit(44) -> 0
ft_isdigit(45) -> 0
ft_isdigit(46) -> 0
ft_isdigit(47) -> 0
ft_isdigit(48) -> 1
ft_isdigit(49) -> 1
ft_isdigit(50) -> 1
ft_isdigit(51) -> 1
ft_isdigit(52) -> 1
ft_isdigit(53) -> 1
ft_isdigit(54) -> 1
ft_isdigit(55) -> 1
ft_isdigit(56) -> 1
ft_isdigit(57) -> 1
ft_isdigit(58) -> 0
ft_isdigit(59) -> 0
ft_isdigit(60) -> 0
ft_isdigit(61) -> 0
ft_isdigit(62) -> 0
ft_isdigit(63) -> 0
ft_isdigit(64) -> 0
ft_isdigit(65) -> 0
ft_isdigit(66) -> 0
ft_isdigit(67) -> 0
ft_isdigit(68) -> 0
ft_isdigit(69) -> 0
ft_isdigit(70) -> 0
ft_isdigit(71) -> 0
ft_isdigit(72) -> 0
ft_isdigit(73) -> 0
ft_isdigit(74) -> 0
ft_isdigit(75) -> 0
ft_isdigit(76) -> 0
ft_isdigit(77) -> 0
ft_isdigit(78) -> 0
ft_isdigit(79) -> 0
ft_isdigit(80) -> 0
ft_isdigit(81) -> 0
ft_isdigit(82) -> 0
ft_isdigit(83) -> 0
ft_isdigit(84) -> 0
ft_isdigit(85) -> 0
ft_isdigit(86) -> 0
ft_isdigit(87) -> 0
ft_isdigit(88) -> 0
ft_isdigit(89) -> 0
ft_isdigit(90) -> 0
ft_isdigit(91) -> 0
ft_isdigit(92) -> 0
ft_isdigit(93) -> 0
ft_isdigit(94) -> 0
ft_isdigit(95) -> 0
ft_isdigit(96) -> 0
ft_isdigit(97) -> 0
ft_isdigit(98) -> 0
ft_isdigit(99) -> 0
ft_isdigit(100) -> 0
ft_isdigit(101) -> 0
ft_isdigit(102) -> 0
ft_isdigit(103) -> 0
ft_isdigit(104) -> 0
ft_isdigit(105) -> 0
ft_isdigit(106) -> 0
ft_isdigit(107) -> 0
ft_isdigit(108) -> 0
ft_isdigit(109) -> 0
ft_isdigit(110) -> 0
ft_isdigit(111) -> 0
ft_isdigit(112) -> 0
ft_isdigit(113) -> 0
ft_isdigit(114) -> 0
ft_isdigit(115) -> 0
ft_isdigit(116) -> 0
ft_isdigit(117) -> 0
ft_isdigit(118) -> 0
ft_isdigit(119) -> 0
ft_isdigit(120) -> 0
ft_isdigit(121) -> 0
ft_isdigit(122) -> 0
ft_isdigit(123) -> 0
ft_isdigit(124) -> 0
ft_isdigit(125) -> 0
ft_isdigit(126) -> 0
ft_isdigit(127) -> 0
ft_isdigit(128) -> 0
ft_isdigit(129) -> 0
ft_isdigit(130) -> 0
ft_isdigit(131) -> 0
ft_isdigit(132) -> 0
ft_isdigit(133) -> 0
ft_isdigit(134) -> 0
ft_isdigit(135) -> 0
ft_isdigit(136) -> 0
ft_isdigit(137) -> 0
ft_isdigit(138) -> 0
ft_isdigit(139) -> 0
ft_isdigit(140) -> 0
ft_isdigit(141) -> 0
ft_isdigit(142) -> 0
ft_isdigit(143) -> 0
ft_isdigit(144) -> 0
ft_isdigit(145) -> 0
ft_isdigit(146) -> 0
ft_isdigit(147) -> 0
ft_isdigit(148) -> 0
ft_isdigit(149) -> 0
ft_isdigit(150) -> 0
ft_isdigit(151) -> 0
ft_isdigit(152) -> 0
ft_isdigit(153) -> 0
ft_isdigit(154) -> 0
ft_isdigit(155) -> 0
ft_isdigit(156) -> 0
ft_isdigit(157) -> 0
ft_isdigit(158) -> 0
ft_isdigit(159) -> 0
ft_isdigit(160) -> 0
ft_isdigit(161) -> 0
ft_isdigit(162) -> 0
ft_isdigit(163) -> 0
ft_isdigit(164) -> 0
ft_isdigit(165) -> 0
ft_isdigit(166) -> 0
ft_isdigit(167) -> 0
ft_isdigit(168) -> 0
ft_isdigit(169) -> 0
ft_isdigit(170) -> 0
ft_isdigit(171) -> 0
ft_isdigit(172) -> 0
ft_isdigit(173) -> 0
ft_isdigit(174) -> 0
ft_isdigit(175) -> 0
ft_isdigit(176) -> 0
ft_isdigit(177) -> 0
ft_isdigit(178) -> 0
ft_isdigit(179) -> 0
ft_isdigit(180) -> 0
ft_isdigit(181) -> 0
ft_isdigit(182) -> 0
ft_isdigit(183) -> 0
ft_isdigit(184) -> 0
ft_isdigit(185) -> 0
ft_isdigit(186) -> 0
ft_isdigit(187) -> 0
ft_isdigit(188) -> 0
ft_isdigit(189) -> 0
ft_isdigit(190) -> 0
ft_isdigit(191) -> 0
ft_isdigit(192) -> 0
ft_isdigit(193) -> 0
ft_isdigit(194) -> 0
ft_isdigit(195) -> 0
ft_isdigit(196) -> 0
ft_isdigit(197) -> 0
ft_isdigit(198) -> 0
ft_isdigit(199) -> 0
ft_isdigit(200) -> 0
ft_isdigit(201) -> 0
ft_isdigit(202) -> 0
ft_isdigit(203) -> 0
ft_isdigit(204) -> 0
ft_isdigit(205) -> 0
ft_isdigit(206) -> 0
ft_isdigit(207) -> 0
ft_isdigit(208) -> 0
ft_isdigit(209) -> 0
ft_isdigit(210) -> 0
ft_isdigit(211) -> 0
ft_isdigit(212) -> 0
ft_isdigit(213) -> 0
ft_isdigit(214) -> 0
ft_isdigit(215) -> 0
ft_isdigit(216) -> 0
ft_isdigit(217) -> 0
ft_isdigit(218) -> 0
ft_isdigit(219) -> 0
ft_isdigit(220) -> 0
ft_isdigit(221) -> 0
ft_isdigit(222) -> 0
ft_isdigit(223) -> 0
ft_isdigit(224) -> 0
ft_isdigit(225) -> 0
ft_isdigit(226) -> 0
ft_isdigit(227) -> 0
ft_isdigit(228) -> 0
ft_isdigit(229) -> 0
ft_isdigit(230) -> 0
ft_isdigit(231) -> 0
ft_isdigit(232) -> 0
ft_isdigit(233) -> 0
ft_isdigit(234) -> 0
ft_isdigit(235) -> 0
ft_isdigit(236) -> 0
ft_isdigit(237) -> 0
ft_isdigit(238) -> 0
ft_isdigit(239) -> 0
ft_isdigit(240) -> 0
ft_isdigit(241) -> 0
ft_isdigit(242) -> 0
ft_isdigit(243) -> 0
ft_isdigit(244) -> 0
ft_isdigit(245) -> 0
ft_isdigit(246) -> 0
ft_isdigit(247) -> 0
ft_isdigit(248) -> 0
ft_isdigit(249) -> 0
ft_isdigit(250) -> 0
ft_isdigit(251) -> 0
ft_isdigit(252) -> 0
ft_isdigit(253) -> 0
ft_isdigit(254) -> 0
ft_isdigit(255) -> 0
stderr 0
return 0
