stdout 7158
ft_isprint(12345) -> 0
ft_isprint(-740551042) -> 0
ft_isprint(-1492899873) -> 0
ft_isprint(-698016724) -> 0
ft_isprint(229283573) -> 0
ft_isprint(-1038148470) -> 0
ft_isprint(1051550459) -> 0
ft_isprint(-853684456) -> 0
ft_isprint(-1353011855) -> 0
ft_isprint(551188310) -> 0
ft_isprint(-1343933481) -> 0
ft_isprint(1772930244) -> 0
ft_isprint(-1776570451) -> 0
ft_isprint(639546082) -> 0
ft_isprint(1381971571) -> 0
ft_isprint(1695770928) -> 0
ft_isprint(2121308585) -> 0
ft_isprint(-428270802) -> 0
ft_isprint(-1150499121) -> 0
ft_isprint(1157490780) -> 0
ft_isprint(-804247707) -> 0
ft_isprint(-1610630086) -> 0
ft_isprint(1511588075) -> 0
ft_isprint(1538207304) -> 0
ft_isprint(2103497953) -> 0
ft_isprint(-1440914938) -> 0
ft_isprint(-1190870841) -> 0
ft_isprint(-626202892) -> 0
ft_isprint(1588911645) -> 0
ft_isprint(-1776445294) -> 0
ft_isprint(33727075) -> 0
ft_isprint(1680572000) -> 0
ft_isprint(88489753) -> 0
ft_isprint(-864506914) -> 0
ft_isprint(527630783) -> 0
ft_isprint(1194991756) -> 0
ft_isprint(-1041058859) -> 0
ft_isprint(-1293965334) -> 0
ft_isprint(-1755317541) -> 0
ft_isprint(1387182456) -> 0
ft_isprint(1538766929) -> 0
ft_isprint(654858422) -> 0
ft_isprint(-61249097) -> 0
ft_isprint(-355338972) -> 0
ft_isprint(-1309767539) -> 0
ft_isprint(-633779646) -> 0
ft_isprint(-1877939629) -> 0
ft_isprint(-842317936) -> 0
ft_isprint(1179132041) -> 0
ft_isprint(-644495218) -> 0
ft_isprint(1941297327) -> 0
ft_isprint(-1295203140) -> 0
ft_isprint(1787378757) -> 0
ft_isprint(1328144282) -> 0
ft_isprint(-2112794421) -> 0
ft_isprint(-1342213976) -> 0
ft_isprint(-1912186943) -> 0
ft_isprint(1203133286) -> 0
ft_isprint(-1352520025) -> 0
ft_isprint(321843028) -> 0
ft_isprint(-421548291) -> 0
ft_isprint(154978290) -> 0
ft_isprint(-1963389373) -> 0
ft_isprint(422948032) -> 0
ft_isprint(1929199097) -> 0
ft_isprint(1179349310) -> 0
ft_isprint(1049906079) -> 0
ft_isprint(-1339501332) -> 0
ft_isprint(214614197) -> 0
ft_isprint(973693770) -> 0
ft_isprint(662438587) -> 0
ft_isprint(809784280) -> 0
ft_isprint(263435057) -> 0
ft_isprint(2030201366) -> 0
ft_isprint(-446820457) -> 0
ft_isprint(-1214851708) -> 0
ft_isprint(-933277331) -> 0
ft_isprint(45289890) -> 0
ft_isprint(2062159411) -> 0
ft_isprint(-1804745232) -> 0
ft_isprint(-1397975191) -> 0
ft_isprint(-539712018) -> 0
ft_isprint(-601007473) -> 0
ft_isprint(-360623844) -> 0
ft_isprint(393101605) -> 0
ft_isprint(1500066554) -> 0
ft_isprint(112136363) -> 0
ft_isprint(2128634632) -> 0
ft_isprint(65456801) -> 0
ft_isprint(-1803057978) -> 0
ft_isprint(2135690375) -> 0
ft_isprint(1453107124) -> 0
ft_isprint(84176861) -> 0
ft_isprint(518465362) -> 0
ft_isprint(-774706653) -> 0
ft_isprint(-1808364768) -> 0
ft_isprint(1952263385) -> 0
ft_isprint(-1205049698) -> 0
ft_isprint(1851786623) -> 0
ft_isprint(-1077331636) -> 0
ft_isprint(-1796555371) -> 0
ft_isprint(1676955306) -> 0
ft_isprint(7961243) -> 0
ft_isprint(1710661176) -> 0
ft_isprint(629579281) -> 0
ft_isprint(-1868518538) -> 0
ft_isprint(468395383) -> 0
ft_isprint(-1181522460) -> 0
ft_isprint(-1624896947) -> 0
ft_isprint(-555480830) -> 0
ft_isprint(-614292973) -> 0
ft_isprint(-1542259632) -> 0
ft_isprint(450231881) -> 0
ft_isprint(-703745202) -> 0
ft_isprint(-859091857) -> 0
ft_isprint(1890815356) -> 0
ft_isprint(-1686686203) -> 0
ft_isprint(-1860848038) -> 0
ft_isprint(1198145675) -> 0
ft_isprint(-26606232) -> 0
ft_isprint(926559617) -> 0
ft_isprint(812178982) -> 0
ft_isprint(129653351) -> 0
ft_isprint(613290004) -> 0
ft_isprint(1557864637) -> 0
ft_isprint(-1670072654) -> 0
ft_isprint(-1391970813) -> 0
ft_isprint(-1236919936) -> 0
ft_isprint(815664057) -> 0
ft_isprint(-453800962) -> 0
ft_isprint(1959669599) -> 0
ft_isprint(1353928108) -> 0
ft_isprint(-1123374475) -> 0
ft_isprint(1224239626) -> 0
ft_isprint(1339056763) -> 0
ft_isprint(-539125608) -> 0
ft_isprint(1936226545) -> 0
ft_isprint(-1279583018) -> 0
ft_isprint(754494295) -> 0
ft_isprint(-2040551868) -> 0
ft_isprint(939176749) -> 0
ft_isprint(975450210) -> 0
ft_isprint(368223731) -> 0
ft_isprint(1406329520) -> 0
ft_isprint(-168012503) -> 0
ft_isprint(-451350354) -> 0
ft_isprint(2038935119) -> 0
ft_isprint(-168068644) -> 0
ft_isprint(2002524901) -> 0
ft_isprint(-729323078) -> 0
ft_isprint(-1078271893) -> 0
ft_isprint(1353996232) -> 0
ft_isprint(-63405983) -> 0
ft_isprint(-2026739834) -> 0
ft_isprint(61151303) -> 0
ft_isprint(-1466226572) -> 0
ft_isprint(-837041763) -> 0
ft_isprint(-750946798) -> 0
ft_isprint(-1894714909) -> 0
ft_isprint(-864266272) -> 0
ft_isprint(-889726311) -> 0
ft_isprint(-612834978) -> 0
ft_isprint(1943456063) -> 0
ft_isprint(1769935372) -> 0
ft_isprint(-1545435307) -> 0
ft_isprint(225293674) -> 0
ft_isprint(1593358939) -> 0
ft_isprint(1980842744) -> 0
ft_isprint(1267811281) -> 0
ft_isprint(-198590922) -> 0
ft_isprint(-2122407625) -> 0
ft_isprint(1603507876) -> 0
ft_isprint(-795522035) -> 0
ft_isprint(1808500674) -> 0
ft_isprint(722606547) -> 0
ft_isprint(1724217616) -> 0
ft_isprint(-1621648375) -> 0
ft_isprint(-2117181938) -> 0
ft_isprint(1918533679) -> 0
ft_isprint(1458640444) -> 0
ft_isprint(-405475387) -> 0
ft_isprint(236342554) -> 0
ft_isprint(119074891) -> 0
ft_isprint(-2083038680) -> 0
ft_isprint(-1558592703) -> 0
ft_isprint(-792977178) -> 0
ft_isprint(168052263) -> 0
ft_isprint(-1168379692) -> 0
ft_isprint(1954435709) -> 0
ft_isprint(-1600559758) -> 0
ft_isprint(-2040193597) -> 0
ft_isprint(-1880013248) -> 0
ft_isprint(1654823289) -> 0
ft_isprint(-158046530) -> 0
ft_isprint(-378416353) -> 0
ft_isprint(1019512428) -> 0
ft_isprint(606753845) -> 0
ft_isprint(-508809014) -> 0
ft_isprint(-1821736389) -> 0
ft_isprint(-324428456) -> 0
ft_isprint(2084110001) -> 0
ft_isprint(801410966) -> 0
ft_isprint(1584727831) -> 0
ft_isprint(851916548) -> 0
ft_isprint(-491924243) -> 0
ft_isprint(1462898466) -> 0
ft_isprint(-1221001805) -> 0
ft_isprint(201506672) -> 0
ft_isprint(1948242665) -> 0
ft_isprint(1829108590) -> 0
ft_isprint(-1556364785) -> 0
ft_isprint(-1674812772) -> 0
ft_isprint(-442911579) -> 0
ft_isprint(874143866) -> 0
ft_isprint(-788762581) -> 0
ft_isprint(-1846866808) -> 0
ft_isprint(-132778463) -> 0
ft_isprint(282987078) -> 0
ft_isprint(-1915755513) -> 0
ft_isprint(-580359884) -> 0
ft_isprint(-1480928419) -> 0
ft_isprint(1843430610) -> 0
ft_isprint(1031584163) -> 0
ft_isprint(633136288) -> 0
ft_isprint(316033113) -> 0
ft_isprint(-585229282) -> 0
ft_isprint(-1349038849) -> 0
ft_isprint(689679052) -> 0
ft_isprint(-728100587) -> 0
ft_isprint(34331690) -> 0
ft_isprint(1855830555) -> 0
ft_isprint(-205609032) -> 0
ft_isprint(1335339409) -> 0
ft_isprint(274960630) -> 0
ft_isprint(-455877385) -> 0
ft_isprint(-1718450332) -> 0
ft_isprint(603737549) -> 0
ft_isprint(1806681730) -> 0
ft_isprint(-220245613) -> 0
ft_isprint(-559761968) -> 0
ft_isprint(-846399031) -> 0
ft_isprint(-1281898290) -> 0
ft_isprint(1411609583) -> 0
ft_isprint(-96116996) -> 0
ft_isprint(627206533) -> 0
ft_isprint(1223402458) -> 0
ft_isprint(-321036277) -> 0
ft_isprint(1627877096) -> 0
ft_isprint(1130699009) -> 0
ft_isprint(393225126) -> 0
ft_isprint(-570428953) -> 0
ft_isprint(1096323476) -> 0
ft_isprint(-74890179) -> 0
ft_isprint(812307506) -> 0
ft_isprint(-87046781) -> 0
ft_isprint(519516928) -> 0
stderr 0
