stdout 23102
ft_strchr(1253) -> 226
ft_strchr(1253) -> 85
ft_strchr(1253) -> 323
ft_strchr(1253) -> 542
ft_strchr(981) -> 64
ft_strchr(981) -> 7
ft_strchr(981) -> 46
ft_strchr(981) -> 49
ft_strchr(1862) -> 27
ft_strchr(1862) -> 376
ft_strchr(1862) -> 153
ft_strchr(1862) -> 921
ft_strchr(1165) -> 10
ft_strchr(1165) -> 570
ft_strchr(1165) -> 10
ft_strchr(1165) -> 570
ft_strchr(1490) -> 146
ft_strchr(1490) -> 86
ft_strchr(1490) -> 103
ft_strchr(1490) -> 404
ft_strchr(994) -> 44
ft_strchr(994) -> 52
ft_strchr(994) -> 259
ft_strchr(994) -> 211
ft_strchr(613) -> 60
ft_strchr(613) -> 443
ft_strchr(613) -> 311
ft_strchr(613) -> 209
ft_strchr(1622) -> 241
ft_strchr(1622) -> 240
ft_strchr(1622) -> 207
ft_strchr(1622) -> 38
ft_strchr(1618) -> 915
ft_strchr(1618) -> 256
ft_strchr(1618) -> 665
ft_strchr(1618) -> 46
ft_strchr(525) -> (null)
ft_strchr(525) -> 440
ft_strchr(525) -> 108
ft_strchr(525) -> 337
ft_strchr(543) -> (null)
ft_strchr(543) -> 44
ft_strchr(543) -> (null)
ft_strchr(543) -> 100
ft_strchr(736) -> 200
ft_strchr(736) -> 151
ft_strchr(736) -> 237
ft_strchr(736) -> 176
ft_strchr(1284) -> (null)
ft_strchr(1284) -> 56
ft_strchr(1284) -> 445
ft_strchr(1284) -> 811
ft_strchr(1089) -> 594
ft_strchr(1089) -> 56
ft_strchr(1089) -> 29
ft_strchr(1089) -> 438
ft_strchr(34) -> (null)
ft_strchr(34) -> (null)
ft_strchr(34) -> 14
ft_strchr(34) -> (null)
ft_strchr(1234) -> 85
ft_strchr(1234) -> 603
ft_strchr(1234) -> 273
ft_strchr(1234) -> 209
ft_strchr(387) -> 107
ft_strchr(387) -> 273
ft_strchr(387) -> 197
ft_strchr(387) -> 47
ft_strchr(1987) -> 64
ft_strchr(1987) -> 419
ft_strchr(1987) -> 471
ft_strchr(1987) -> 592
ft_strchr(725) -> 70
ft_strchr(725) -> 552
ft_strchr(725) -> 146
ft_strchr(725) -> 167
ft_strchr(2031) -> 84
ft_strchr(2031) -> 245
ft_strchr(2031) -> 23
ft_strchr(2031) -> 146
ft_strchr(2022) -> 276
ft_strchr(2022) -> 150
ft_strchr(2022) -> 556
ft_strchr(2022) -> 219
ft_strchr(181) -> 5
ft_strchr(181) -> (null)
ft_strchr(181) -> 133
ft_strchr(181) -> (null)
ft_strchr(223) -> 41
ft_strchr(223) -> (null)
ft_strchr(223) -> 147
ft_strchr(223) -> 31
ft_strchr(152) -> (null)
ft_strchr(152) -> (null)
ft_strchr(152) -> 52
ft_strchr(152) -> (null)
ft_strchr(1089) -> 700
ft_strchr(1089) -> 266
ft_strchr(1089) -> 111
ft_strchr(1089) -> 43
ft_strchr(406) -> 163
ft_strchr(406) -> 32
ft_strchr(406) -> (null)
ft_strchr(406) -> 38
ft_strchr(1184) -> (null)
ft_strchr(1184) -> 56
ft_strchr(1184) -> 32
ft_strchr(1184) -> 17
ft_strchr(840) -> 439
ft_strchr(840) -> 17
ft_strchr(840) -> 173
ft_strchr(840) -> 61
ft_strchr(1569) -> 666
ft_strchr(1569) -> 1062
ft_strchr(1569) -> 228
ft_strchr(1569) -> 60
ft_strchr(702) -> 299
ft_strchr(702) -> 508
ft_strchr(702) -> 424
ft_strchr(702) -> 55
ft_strchr(1972) -> 157
ft_strchr(1972) -> 398
ft_strchr(1972) -> 194
ft_strchr(1972) -> 506
ft_strchr(1048) -> 143
ft_strchr(1048) -> 69
ft_strchr(1048) -> 2
ft_strchr(1048) -> 210
ft_strchr(1041) -> 0
ft_strchr(1041) -> 458
ft_strchr(1041) -> 170
ft_strchr(1041) -> 695
ft_strchr(484) -> 443
ft_strchr(484) -> (null)
ft_strchr(484) -> 69
ft_strchr(484) -> 354
ft_strchr(1653) -> 73
ft_strchr(1653) -> 264
ft_strchr(1653) -> 77
ft_strchr(1653) -> 585
ft_strchr(1594) -> 188
ft_strchr(1594) -> 272
ft_strchr(1594) -> 114
ft_strchr(1594) -> 414
ft_strchr(1818) -> 29
ft_strchr(1818) -> 508
ft_strchr(1818) -> 141
ft_strchr(1818) -> 26
ft_strchr(409) -> 71
ft_strchr(409) -> 43
ft_strchr(409) -> 216
ft_strchr(409) -> 347
ft_strchr(887) -> (null)
ft_strchr(887) -> 694
ft_strchr(887) -> 22
ft_strchr(887) -> (null)
ft_strchr(896) -> 41
ft_strchr(896) -> 61
ft_strchr(896) -> 73
ft_strchr(896) -> 814
ft_strchr(1597) -> 92
ft_strchr(1597) -> 136
ft_strchr(1597) -> 246
ft_strchr(1597) -> 267
ft_strchr(205) -> (null)
ft_strchr(205) -> (null)
ft_strchr(205) -> 27
ft_strchr(205) -> (null)
ft_strchr(780) -> 95
ft_strchr(780) -> 331
ft_strchr(780) -> 60
ft_strchr(780) -> 213
ft_strchr(981) -> 416
ft_strchr(981) -> 292
ft_strchr(981) -> 176
ft_strchr(981) -> 404
ft_strchr(505) -> 110
ft_strchr(505) -> 134
ft_strchr(505) -> 218
ft_strchr(505) -> 199
ft_strchr(583) -> 78
ft_strchr(583) -> 277
ft_strchr(583) -> 329
ft_strchr(583) -> 257
ft_strchr(1728) -> 206
ft_strchr(1728) -> 68
ft_strchr(1728) -> 10
ft_strchr(1728) -> 233
ft_strchr(1217) -> 289
ft_strchr(1217) -> 746
ft_strchr(1217) -> 176
ft_strchr(1217) -> 143
ft_strchr(1993) -> 103
ft_strchr(1993) -> 575
ft_strchr(1993) -> 4
ft_strchr(1993) -> 104
ft_strchr(1071) -> 8
ft_strchr(1071) -> 341
ft_strchr(1071) -> 204
ft_strchr(1071) -> 157
ft_strchr(220) -> (null)
ft_strchr(220) -> (null)
ft_strchr(220) -> 19
ft_strchr(220) -> (null)
ft_strchr(231) -> (null)
ft_strchr(231) -> (null)
ft_strchr(231) -> 135
ft_strchr(231) -> 214
ft_strchr(1444) -> 280
ft_strchr(1444) -> 255
ft_strchr(1444) -> 31
ft_strchr(1444) -> 43
ft_strchr(1926) -> 183
ft_strchr(1926) -> 151
ft_strchr(1926) -> 313
ft_strchr(1926) -> 174
ft_strchr(2022) -> 169
ft_strchr(2022) -> 263
ft_strchr(2022) -> 590
ft_strchr(2022) -> 58
ft_strchr(1928) -> 300
ft_strchr(1928) -> 234
ft_strchr(1928) -> 16
ft_strchr(1928) -> 162
ft_strchr(1405) -> 47
ft_strchr(1405) -> 535
ft_strchr(1405) -> 72
ft_strchr(1405) -> 650
ft_strchr(1962) -> 161
ft_strchr(1962) -> 222
ft_strchr(1962) -> 268
ft_strchr(1962) -> 3
ft_strchr(541) -> 192
ft_strchr(541) -> 98
ft_strchr(541) -> 261
ft_strchr(541) -> 35
ft_strchr(1024) -> 144
ft_strchr(1024) -> 245
ft_strchr(1024) -> 8
ft_strchr(1024) -> 22
ft_strchr(196) -> (null)
ft_strchr(196) -> 81
ft_strchr(196) -> 109
ft_strchr(196) -> (null)
ft_strchr(469) -> (null)
ft_strchr(469) -> 199
ft_strchr(469) -> 327
ft_strchr(469) -> 56
ft_strchr(254) -> 144
ft_strchr(254) -> 60
ft_strchr(254) -> 60
ft_strchr(254) -> 144
ft_strchr(1350) -> 933
ft_strchr(1350) -> 128
ft_strchr(1350) -> 266
ft_strchr(1350) -> 385
ft_strchr(993) -> 241
ft_strchr(993) -> 72
