stdout 5027
ft_memcmp(16) -> 0
ft_memcmp(6) -> 0
ft_memcmp(15) -> -38
ft_memcmp(17) -> 0
ft_memcmp(3) -> 0
ft_memcmp(14) -> 0
ft_memcmp(1) -> 0
ft_memcmp(24) -> 24
ft_memcmp(9) -> 0
ft_memcmp(20) -> -12
ft_memcmp(8) -> 116
ft_memcmp(22) -> -5
ft_memcmp(22) -> -183
ft_memcmp(27) -> 139
ft_memcmp(24) -> -100
ft_memcmp(15) -> 2
ft_memcmp(29) -> 117
ft_memcmp(7) -> 0
ft_memcmp(2) -> 0
ft_memcmp(5) -> 0
ft_memcmp(16) -> 0
ft_memcmp(25) -> -118
ft_memcmp(26) -> -74
ft_memcmp(28) -> -29
ft_memcmp(2) -> 0
ft_memcmp(22) -> -127
ft_memcmp(19) -> 0
ft_memcmp(23) -> -164
ft_memcmp(7) -> 0
ft_memcmp(31) -> -31
ft_memcmp(0) -> 0
ft_memcmp(25) -> -89
ft_memcmp(17) -> 0
ft_memcmp(25) -> 0
ft_memcmp(20) -> 0
ft_memcmp(4) -> 0
ft_memcmp(19) -> 0
ft_memcmp(6) -> 0
ft_memcmp(2) -> 0
ft_memcmp(28) -> 70
ft_memcmp(1) -> 0
ft_memcmp(10) -> 0
ft_memcmp(29) -> 46
ft_memcmp(3) -> 0
ft_memcmp(14) -> 50
ft_memcmp(6) -> 0
ft_memcmp(24) -> -53
ft_memcmp(29) -> -125
ft_memcmp(12) -> 0
ft_memcmp(31) -> -50
ft_memcmp(5) -> 0
ft_memcmp(13) -> 5
ft_memcmp(14) -> -39
ft_memcmp(23) -> 141
ft_memcmp(25) -> -81
ft_memcmp(22) -> 25
ft_memcmp(8) -> 0
ft_memcmp(17) -> 0
ft_memcmp(6) -> -53
ft_memcmp(26) -> 14
ft_memcmp(12) -> 0
ft_memcmp(16) -> 29
ft_memcmp(30) -> 50
ft_memcmp(29) -> -24
ft_memcmp(13) -> 48
ft_memcmp(23) -> 0
ft_memcmp(21) -> 104
ft_memcmp(1) -> 0
ft_memcmp(31) -> 218
ft_memcmp(10) -> 0
ft_memcmp(31) -> -6
ft_memcmp(10) -> 0
ft_memcmp(20) -> -117
ft_memcmp(10) -> 0
ft_memcmp(13) -> 0
ft_memcmp(27) -> -39
ft_memcmp(0) -> 0
ft_memcmp(28) -> -2
ft_memcmp(19) -> 0
ft_memcmp(23) -> -131
ft_memcmp(21) -> 0
ft_memcmp(2) -> 0
ft_memcmp(4) -> 0
ft_memcmp(0) -> 0
ft_memcmp(7) -> 0
ft_memcmp(31) -> 210
ft_memcmp(19) -> 0
ft_memcmp(26) -> -6
ft_memcmp(8) -> 0
ft_memcmp(23) -> 57
ft_memcmp(19) -> 54
ft_memcmp(8) -> -208
ft_memcmp(11) -> 0
ft_memcmp(11) -> 0
ft_memcmp(22) -> 0
ft_memcmp(12) -> 191
ft_memcmp(4) -> 0
ft_memcmp(0) -> 0
ft_memcmp(17) -> 136
ft_memcmp(10) -> 0
ft_memcmp(6) -> 0
ft_memcmp(24) -> -131
ft_memcmp(22) -> 0
ft_memcmp(4) -> 0
ft_memcmp(2) -> 0
ft_memcmp(22) -> -168
ft_memcmp(23) -> 201
ft_memcmp(31) -> 144
ft_memcmp(13) -> -24
ft_memcmp(29) -> -190
ft_memcmp(9) -> 42
ft_memcmp(27) -> -57
ft_memcmp(26) -> 150
ft_memcmp(16) -> 24
ft_memcmp(29) -> 189
ft_memcmp(30) -> -1
ft_memcmp(27) -> 49
ft_memcmp(19) -> 15
ft_memcmp(8) -> 201
ft_memcmp(9) -> 0
ft_memcmp(3) -> 0
ft_memcmp(8) -> 0
ft_memcmp(27) -> 59
ft_memcmp(0) -> 0
ft_memcmp(6) -> 0
ft_memcmp(18) -> -97
ft_memcmp(10) -> 0
ft_memcmp(6) -> 0
ft_memcmp(22) -> 0
ft_memcmp(20) -> -61
ft_memcmp(8) -> 0
ft_memcmp(29) -> -43
ft_memcmp(7) -> 0
ft_memcmp(17) -> -144
ft_memcmp(8) -> 0
ft_memcmp(9) -> 0
