stdout 4778
ft_strlen() -> 0
ft_strlen() -> 91
ft_strlen() -> 19
ft_strlen() -> 34
ft_strlen() -> 301
ft_strlen() -> 677
ft_strlen() -> 76
ft_strlen() -> 86
ft_strlen() -> 297
ft_strlen() -> 98
ft_strlen() -> 432
ft_strlen() -> 135
ft_strlen() -> 232
ft_strlen() -> 664
ft_strlen() -> 3
ft_strlen() -> 138
ft_strlen() -> 342
ft_strlen() -> 318
ft_strlen() -> 173
ft_strlen() -> 161
ft_strlen() -> 71
ft_strlen() -> 322
ft_strlen() -> 322
ft_strlen() -> 202
ft_strlen() -> 300
ft_strlen() -> 117
ft_strlen() -> 74
ft_strlen() -> 63
ft_strlen() -> 708
ft_strlen() -> 92
ft_strlen() -> 188
ft_strlen() -> 756
ft_strlen() -> 970
ft_strlen() -> 172
ft_strlen() -> 128
ft_strlen() -> 46
ft_strlen() -> 104
ft_strlen() -> 221
ft_strlen() -> 320
ft_strlen() -> 531
ft_strlen() -> 706
ft_strlen() -> 704
ft_strlen() -> 241
ft_strlen() -> 133
ft_strlen() -> 68
ft_strlen() -> 72
ft_strlen() -> 121
ft_strlen() -> 248
ft_strlen() -> 122
ft_strlen() -> 471
ft_strlen() -> 687
ft_strlen() -> 4
ft_strlen() -> 403
ft_strlen() -> 43
ft_strlen() -> 421
ft_strlen() -> 233
ft_strlen() -> 170
ft_strlen() -> 106
ft_strlen() -> 337
ft_strlen() -> 84
ft_strlen() -> 118
ft_strlen() -> 69
ft_strlen() -> 42
ft_strlen() -> 61
ft_strlen() -> 35
ft_strlen() -> 243
ft_strlen() -> 200
ft_strlen() -> 363
ft_strlen() -> 756
ft_strlen() -> 8
ft_strlen() -> 80
ft_strlen() -> 386
ft_strlen() -> 351
ft_strlen() -> 345
ft_strlen() -> 655
ft_strlen() -> 119
ft_strlen() -> 57
ft_strlen() -> 390
ft_strlen() -> 293
ft_strlen() -> 25
ft_strlen() -> 81
ft_strlen() -> 27
ft_strlen() -> 185
ft_strlen() -> 295
ft_strlen() -> 207
ft_strlen() -> 505
ft_strlen() -> 74
ft_strlen() -> 282
ft_strlen() -> 357
ft_strlen() -> 54
ft_strlen() -> 101
ft_strlen() -> 255
ft_strlen() -> 14
ft_strlen() -> 597
ft_strlen() -> 298
ft_strlen() -> 173
ft_strlen() -> 541
ft_strlen() -> 28
ft_strlen() -> 443
ft_strlen() -> 29
ft_strlen() -> 80
ft_strlen() -> 92
ft_strlen() -> 83
ft_strlen() -> 106
ft_strlen() -> 203
ft_strlen() -> 223
ft_strlen() -> 226
ft_strlen() -> 247
ft_strlen() -> 626
ft_strlen() -> 26
ft_strlen() -> 640
ft_strlen() -> 508
ft_strlen() -> 463
ft_strlen() -> 122
ft_strlen() -> 460
ft_strlen() -> 49
ft_strlen() -> 254
ft_strlen() -> 107
ft_strlen() -> 382
ft_strlen() -> 19
ft_strlen() -> 184
ft_strlen() -> 306
ft_strlen() -> 20
ft_strlen() -> 261
