stdout 5607
ft_strncmp(2032) -> -1
ft_strncmp(1638) -> -1
ft_strncmp(303) -> -1
ft_strncmp(1937) -> 0
ft_strncmp(899) -> -1
ft_strncmp(398) -> -1
ft_strncmp(897) -> -1
ft_strncmp(472) -> 1
ft_strncmp(2025) -> 1
ft_strncmp(1748) -> 1
ft_strncmp(808) -> 1
ft_strncmp(342) -> 1
ft_strncmp(1238) -> -1
ft_strncmp(1563) -> 1
ft_strncmp(824) -> -1
ft_strncmp(1871) -> 0
ft_strncmp(1213) -> -1
ft_strncmp(1543) -> -1
ft_strncmp(386) -> -1
ft_strncmp(965) -> 1
ft_strncmp(1232) -> 1
ft_strncmp(1017) -> -1
ft_strncmp(1690) -> -1
ft_strncmp(1404) -> -1
ft_strncmp(1282) -> -1
ft_strncmp(1046) -> 1
ft_strncmp(1491) -> -1
ft_strncmp(503) -> 1
ft_strncmp(7) -> 0
ft_strncmp(319) -> 1
ft_strncmp(1344) -> 1
ft_strncmp(1401) -> 1
ft_strncmp(849) -> 0
ft_strncmp(1305) -> -1
ft_strncmp(1460) -> 1
ft_strncmp(772) -> -1
ft_strncmp(1811) -> 1
ft_strncmp(6) -> 0
ft_strncmp(706) -> -1
ft_strncmp(1116) -> -1
ft_strncmp(1601) -> 1
ft_strncmp(298) -> -1
ft_strncmp(701) -> 1
ft_strncmp(515) -> 1
ft_strncmp(1678) -> 1
ft_strncmp(1638) -> 1
ft_strncmp(1720) -> -1
ft_strncmp(829) -> -1
ft_strncmp(108) -> 0
ft_strncmp(1119) -> -1
ft_strncmp(645) -> 1
ft_strncmp(1549) -> 1
ft_strncmp(1806) -> 0
ft_strncmp(1655) -> 0
ft_strncmp(1209) -> -1
ft_strncmp(1846) -> 1
ft_strncmp(104) -> -1
ft_strncmp(1745) -> 0
ft_strncmp(1702) -> -1
ft_strncmp(570) -> 1
ft_strncmp(1324) -> 0
ft_strncmp(1616) -> -1
ft_strncmp(1118) -> 1
ft_strncmp(349) -> -1
ft_strncmp(205) -> -1
ft_strncmp(1175) -> -1
ft_strncmp(1205) -> 1
ft_strncmp(1441) -> 1
ft_strncmp(383) -> 1
ft_strncmp(10) -> 0
ft_strncmp(319) -> -1
ft_strncmp(1738) -> 0
ft_strncmp(52) -> -1
ft_strncmp(1482) -> 1
ft_strncmp(1613) -> 1
ft_strncmp(859) -> -1
ft_strncmp(160) -> 1
ft_strncmp(444) -> -1
ft_strncmp(755) -> 1
ft_strncmp(151) -> 0
ft_strncmp(309) -> 1
ft_strncmp(1666) -> 0
ft_strncmp(260) -> -1
ft_strncmp(640) -> -1
ft_strncmp(807) -> -1
ft_strncmp(1407) -> 1
ft_strncmp(1299) -> -1
ft_strncmp(986) -> 1
ft_strncmp(616) -> 0
ft_strncmp(1751) -> 1
ft_strncmp(1651) -> -1
ft_strncmp(1576) -> -1
ft_strncmp(1451) -> -1
ft_strncmp(363) -> 0
ft_strncmp(1846) -> -1
ft_strncmp(428) -> 1
ft_strncmp(1636) -> -1
ft_strncmp(736) -> -1
ft_strncmp(1073) -> 1
ft_strncmp(1386) -> 1
ft_strncmp(198) -> -1
ft_strncmp(1944) -> -1
ft_strncmp(1270) -> 1
ft_strncmp(1828) -> -1
ft_strncmp(962) -> 1
ft_strncmp(694) -> 0
ft_strncmp(983) -> 1
ft_strncmp(863) -> 1
ft_strncmp(269) -> -1
ft_strncmp(1565) -> -1
ft_strncmp(1513) -> 1
ft_strncmp(1371) -> -1
ft_strncmp(1306) -> 1
ft_strncmp(624) -> 1
ft_strncmp(765) -> 1
ft_strncmp(1822) -> -1
ft_strncmp(1819) -> 1
ft_strncmp(1811) -> 1
ft_strncmp(1448) -> 1
ft_strncmp(361) -> -1
ft_strncmp(259) -> 0
ft_strncmp(552) -> -1
ft_strncmp(827) -> -1
ft_strncmp(960) -> 1
ft_strncmp(1926) -> 1
ft_strncmp(146) -> -1
ft_strncmp(970) -> 1
ft_strncmp(1126) -> 0
ft_strncmp(534) -> -1
ft_strncmp(1524) -> -1
ft_strncmp(552) -> 1
ft_strncmp(93) -> -1
ft_strncmp(743) -> 1
ft_strncmp(1201) -> -1
ft_strncmp(1000) -> 1
ft_strncmp(873) -> -1
ft_strncmp(1771) -> -1
ft_strncmp(1516) -> -1
ft_strncmp(349) -> 1
ft_strncmp(13) -> 0
ft_strncmp(1494) -> 1
ft_strncmp(393) -> 1
ft_strncmp(1434) -> 1
ft_strncmp(1931) -> 1
ft_strncmp(538) -> 1
ft_strncmp(1578) -> 1
ft_strncmp(1650) -> 1
ft_strncmp(487) -> 1
ft_strncmp(234) -> -1
ft_strncmp(306) -> -1
ft_strncmp(1143) -> -1
ft_strncmp(1508) -> 1
ft_strncmp(570) -> 1
ft_strncmp(1732) -> 1
ft_strncmp(766) -> -1
ft_strncmp(260) -> 1
ft_strncmp(188) -> 1
ft_strncmp(451) -> -1
ft_strncmp(24) -> 1
ft_strncmp(1931) -> 1
ft_strncmp(484) -> 0
ft_strncmp(978) -> 1
ft_strncmp(1178) -> 1
ft_strncmp(1148) -> 1
ft_strncmp(1508) -> 1
ft_strncmp(1365) -> -1
ft_strncmp(1045) -> 1
ft_strncmp(409) -> -1
ft_strncmp(1967) -> -1
ft_strncmp(1390) -> 1
ft_strncmp(1246) -> -1
ft_strncmp(1894) -> -1
ft_strncmp(1273) -> 1
ft_strncmp(512) -> -1
ft_strncmp(6) -> 0
ft_strncmp(1318) -> -1
ft_strncmp(1588) -> 1
ft_strncmp(1966) -> 1
ft_strncmp(353) -> 1
ft_strncmp(219) -> 1
ft_strncmp(1684) -> 1
ft_strncmp(475) -> -1
ft_strncmp(1922) -> 1
ft_strncmp(1865) -> 0
ft_strncmp(1035) -> 1
ft_strncmp(683) -> -1
ft_strncmp(956) -> 1
ft_strncmp(1011) -> -1
ft_strncmp(1869) -> -1
ft_strncmp(767) -> 0
ft_strncmp(546) -> 1
ft_strncmp(283) -> -1
ft_strncmp(972) -> 1
ft_strncmp(636) -> -1
ft_strncmp(391) -> 1
ft_strncmp(1989) -> 1
ft_strncmp(1979) -> 1
ft_strncmp(1924) -> -1
ft_strncmp(894) -> 1
ft_strncmp(1972) -> 1
ft_strncmp(1038) -> -1
ft_strncmp(1850) -> -1
ft_strncmp(1113) -> -1
ft_strncmp(1898) -> 1
ft_strncmp(1143) -> -1
ft_strncmp(1410) -> -1
ft_strncmp(813) -> -1
ft_strncmp(1067) -> -1
ft_strncmp(1898) -> 1
ft_strncmp(1277) -> 1
ft_strncmp(459) -> 1
ft_strncmp(506) -> 1
ft_strncmp(1561) -> -1
ft_strncmp(1808) -> -1
ft_strncmp(1224) -> -1
ft_strncmp(921) -> -1
ft_strncmp(1144) -> 1
ft_strncmp(989) -> -1
ft_strncmp(885) -> -1
ft_strncmp(652) -> -1
ft_strncmp(313) -> -1
ft_strncmp(583) -> 1
ft_strncmp(2023) -> 1
ft_strncmp(1814) -> -1
ft_strncmp(1487) -> 1
ft_strncmp(2033) -> 1
ft_strncmp(1775) -> -1
ft_strncmp(58) -> 0
ft_strncmp(1646) -> 1
ft_strncmp(318) -> 1
ft_strncmp(33) -> -1
ft_strncmp(954) -> -1
ft_strncmp(520) -> 1
ft_strncmp(338) -> 1
ft_strncmp(1488) -> -1
ft_strncmp(1561) -> -1
ft_strncmp(593) -> 1
ft_strncmp(527) -> -1
ft_strncmp(1295) -> 1
ft_strncmp(668) -> 1
ft_strncmp(955) -> -1
ft_strncmp(1048) -> 1
ft_strncmp(1457) -> -1
ft_strncmp(836) -> 0
ft_strncmp(1401) -> -1
ft_strncmp(1744) -> 1
ft_strncmp(585) -> 1
ft_strncmp(213) -> -1
ft_strncmp(383) -> -1
ft_strncmp(90) -> -1
ft_strncmp(41) -> 1
ft_strncmp(721) -> 1
ft_strncmp(1151) -> 1
ft_strncmp(1433) -> 1
ft_strncmp(1894) -> -1
ft_strncmp(1916) -> 1
stderr 0
