stdout 780
ft_strnstr(10) -> 0
ft_strnstr(10) -> 0
ft_strnstr(10) -> (null)
ft_strnstr(0) -> (null)
ft_strnstr(0) -> (null)
ft_strnstr(0) -> (null)
ft_strnstr(3) -> 0
ft_strnstr(3) -> 0
ft_strnstr(3) -> (null)
ft_strnstr(4) -> 0
ft_strnstr(4) -> 0
ft_strnstr(4) -> (null)
ft_strnstr(6) -> 0
ft_strnstr(6) -> 0
ft_strnstr(6) -> (null)
ft_strnstr(7) -> 0
ft_strnstr(7) -> 0
ft_strnstr(7) -> (null)
ft_strnstr(10) -> 0
ft_strnstr(10) -> 0
ft_strnstr(10) -> (null)
ft_strnstr(0) -> (null)
ft_strnstr(0) -> (null)
ft_strnstr(0) -> (null)
ft_strnstr(3) -> 0
ft_strnstr(3) -> (null)
ft_strnstr(3) -> (null)
ft_strnstr(4) -> 0
ft_strnstr(4) -> (null)
ft_strnstr(4) -> (null)
ft_strnstr(6) -> 0
ft_strnstr(6) -> 3
ft_strnstr(6) -> (null)
ft_strnstr(7) -> 0
ft_strnstr(7) -> 3
ft_strnstr(7) -> (null)
stderr 0
