stdout 6654
ft_strncmp(1843) -> (null)
ft_strncmp(1727) -> (null)
ft_strncmp(1628) -> (null)
ft_strncmp(258) -> (null)
ft_strncmp(1262) -> (null)
ft_strncmp(1664) -> (null)
ft_strncmp(1554) -> (null)
ft_strncmp(307) -> (null)
ft_strncmp(132) -> (null)
ft_strncmp(3) -> (null)
ft_strncmp(230) -> (null)
ft_strncmp(1744) -> (null)
ft_strncmp(703) -> 344
ft_strncmp(1581) -> 219
ft_strncmp(1822) -> (null)
ft_strncmp(999) -> (null)
ft_strncmp(928) -> (null)
ft_strncmp(557) -> (null)
ft_strncmp(1617) -> (null)
ft_strncmp(1527) -> (null)
ft_strncmp(653) -> (null)
ft_strncmp(1528) -> (null)
ft_strncmp(252) -> (null)
ft_strncmp(584) -> (null)
ft_strncmp(58) -> (null)
ft_strncmp(386) -> (null)
ft_strncmp(1479) -> (null)
ft_strncmp(778) -> (null)
ft_strncmp(1624) -> (null)
ft_strncmp(1724) -> (null)
ft_strncmp(662) -> (null)
ft_strncmp(303) -> (null)
ft_strncmp(254) -> (null)
ft_strncmp(81) -> (null)
ft_strncmp(1874) -> (null)
ft_strncmp(1800) -> 114
ft_strncmp(1498) -> (null)
ft_strncmp(1823) -> (null)
ft_strncmp(1140) -> (null)
ft_strncmp(1953) -> (null)
ft_strncmp(1302) -> (null)
ft_strncmp(630) -> 3
ft_strncmp(341) -> (null)
ft_strncmp(1756) -> (null)
ft_strncmp(11) -> (null)
ft_strncmp(1810) -> (null)
ft_strncmp(1590) -> (null)
ft_strncmp(1615) -> (null)
ft_strncmp(424) -> (null)
ft_strncmp(217) -> (null)
ft_strncmp(1553) -> (null)
ft_strncmp(733) -> (null)
ft_strncmp(1183) -> (null)
ft_strncmp(852) -> (null)
ft_strncmp(1053) -> (null)
ft_strncmp(1813) -> (null)
ft_strncmp(852) -> (null)
ft_strncmp(1262) -> (null)
ft_strncmp(290) -> (null)
ft_strncmp(1613) -> (null)
ft_strncmp(1412) -> (null)
ft_strncmp(238) -> 103
ft_strncmp(1153) -> (null)
ft_strncmp(1149) -> (null)
ft_strncmp(1976) -> 338
ft_strncmp(1076) -> (null)
ft_strncmp(1281) -> (null)
ft_strncmp(1756) -> (null)
ft_strncmp(103) -> (null)
ft_strncmp(181) -> (null)
ft_strncmp(1370) -> (null)
ft_strncmp(316) -> (null)
ft_strncmp(1773) -> (null)
ft_strncmp(952) -> (null)
ft_strncmp(131) -> (null)
ft_strncmp(1061) -> (null)
ft_strncmp(47) -> (null)
ft_strncmp(717) -> (null)
ft_strncmp(442) -> (null)
ft_strncmp(1970) -> (null)
ft_strncmp(1289) -> (null)
ft_strncmp(913) -> (null)
ft_strncmp(1110) -> (null)
ft_strncmp(1837) -> (null)
ft_strncmp(1662) -> 180
ft_strncmp(547) -> (null)
ft_strncmp(1871) -> 407
ft_strncmp(364) -> (null)
ft_strncmp(926) -> (null)
ft_strncmp(612) -> (null)
ft_strncmp(137) -> (null)
ft_strncmp(489) -> (null)
ft_strncmp(1333) -> (null)
ft_strncmp(2033) -> 341
ft_strncmp(996) -> 88
ft_strncmp(1699) -> (null)
ft_strncmp(823) -> (null)
ft_strncmp(224) -> (null)
ft_strncmp(515) -> (null)
ft_strncmp(1719) -> (null)
ft_strncmp(2030) -> (null)
ft_strncmp(1852) -> (null)
