stdout 9452
ft_tolower(12345) -> 12345
ft_tolower(-740551042) -> -740551042
ft_tolower(-1492899873) -> -1492899873
ft_tolower(-698016724) -> -698016724
ft_tolower(229283573) -> 229283573
ft_tolower(-1038148470) -> -1038148470
ft_tolower(1051550459) -> 1051550459
ft_tolower(-853684456) -> -853684456
ft_tolower(-1353011855) -> -1353011855
ft_tolower(551188310) -> 551188310
ft_tolower(-1343933481) -> -1343933481
ft_tolower(1772930244) -> 1772930244
ft_tolower(-1776570451) -> -1776570451
ft_tolower(639546082) -> 639546082
ft_tolower(1381971571) -> 1381971571
ft_tolower(1695770928) -> 1695770928
ft_tolower(2121308585) -> 2121308585
ft_tolower(-428270802) -> -428270802
ft_tolower(-1150499121) -> -1150499121
ft_tolower(1157490780) -> 1157490780
ft_tolower(-804247707) -> -804247707
ft_tolower(-1610630086) -> -1610630086
ft_tolower(1511588075) -> 1511588075
ft_tolower(1538207304) -> 1538207304
ft_tolower(2103497953) -> 2103497953
ft_tolower(-1440914938) -> -1440914938
ft_tolower(-1190870841) -> -1190870841
ft_tolower(-626202892) -> -626202892
ft_tolower(1588911645) -> 1588911645
ft_tolower(-1776445294) -> -1776445294
ft_tolower(33727075) -> 33727075
ft_tolower(1680572000) -> 1680572000
ft_tolower(88489753) -> 88489753
ft_tolower(-864506914) -> -864506914
ft_tolower(527630783) -> 527630783
ft_tolower(1194991756) -> 1194991756
ft_tolower(-1041058859) -> -1041058859
ft_tolower(-1293965334) -> -1293965334
ft_tolower(-1755317541) -> -1755317541
ft_tolower(1387182456) -> 1387182456
ft_tolower(1538766929) -> 1538766929
ft_tolower(654858422) -> 654858422
ft_tolower(-61249097) -> -61249097
ft_tolower(-355338972) -> -355338972
ft_tolower(-1309767539) -> -1309767539
ft_tolower(-633779646) -> -633779646
ft_tolower(-1877939629) -> -1877939629
ft_tolower(-842317936) -> -842317936
ft_tolower(1179132041) -> 1179132041
ft_tolower(-644495218) -> -644495218
ft_tolower(1941297327) -> 1941297327
ft_tolower(-1295203140) -> -1295203140
ft_tolower(1787378757) -> 1787378757
ft_tolower(1328144282) -> 1328144282
ft_tolower(-2112794421) -> -2112794421
ft_tolower(-1342213976) -> -1342213976
ft_tolower(-1912186943) -> -1912186943
ft_tolower(1203133286) -> 1203133286
ft_tolower(-1352520025) -> -1352520025
ft_tolower(321843028) -> 321843028
ft_tolower(-421548291) -> -421548291
ft_tolower(154978290) -> 154978290
ft_tolower(-1963389373) -> -1963389373
ft_tolower(422948032) -> 422948032
ft_tolower(1929199097) -> 1929199097
ft_tolower(1179349310) -> 1179349310
ft_tolower(1049906079) -> 1049906079
ft_tolower(-1339501332) -> -1339501332
ft_tolower(214614197) -> 214614197
ft_tolower(973693770) -> 973693770
ft_tolower(662438587) -> 662438587
ft_tolower(809784280) -> 809784280
ft_tolower(263435057) -> 263435057
ft_tolower(2030201366) -> 2030201366
ft_tolower(-446820457) -> -446820457
ft_tolower(-1214851708) -> -1214851708
ft_tolower(-933277331) -> -933277331
ft_tolower(45289890) -> 45289890
ft_tolower(2062159411) -> 2062159411
ft_tolower(-1804745232) -> -1804745232
ft_tolower(-1397975191) -> -1397975191
ft_tolower(-539712018) -> -539712018
ft_tolower(-601007473) -> -601007473
ft_tolower(-360623844) -> -360623844
ft_tolower(393101605) -> 393101605
ft_tolower(1500066554) -> 1500066554
ft_tolower(112136363) -> 112136363
ft_tolower(2128634632) -> 2128634632
ft_tolower(65456801) -> 65456801
ft_tolower(-1803057978) -> -1803057978
ft_tolower(2135690375) -> 2135690375
ft_tolower(1453107124) -> 1453107124
ft_tolower(84176861) -> 84176861
ft_tolower(518465362) -> 518465362
ft_tolower(-774706653) -> -774706653
ft_tolower(-1808364768) -> -1808364768
ft_tolower(1952263385) -> 1952263385
ft_tolower(-1205049698) -> -1205049698
ft_tolower(1851786623) -> 1851786623
ft_tolower(-1077331636) -> -1077331636
ft_tolower(-1796555371) -> -1796555371
ft_tolower(1676955306) -> 1676955306
ft_tolower(7961243) -> 7961243
ft_tolower(1710661176) -> 1710661176
ft_tolower(629579281) -> 629579281
ft_tolower(-1868518538) -> -1868518538
ft_tolower(468395383) -> 468395383
ft_tolower(-1181522460) -> -1181522460
ft_tolower(-1624896947) -> -1624896947
ft_tolower(-555480830) -> -555480830
ft_tolower(-614292973) -> -614292973
ft_tolower(-1542259632) -> -1542259632
ft_tolower(450231881) -> 450231881
ft_tolower(-703745202) -> -703745202
ft_tolower(-859091857) -> -859091857
ft_tolower(1890815356) -> 1890815356
ft_tolower(-1686686203) -> -1686686203
ft_tolower(-1860848038) -> -1860848038
ft_tolower(1198145675) -> 1198145675
ft_tolower(-26606232) -> -26606232
ft_tolower(926559617) -> 926559617
ft_tolower(812178982) -> 812178982
ft_tolower(129653351) -> 129653351
ft_tolower(613290004) -> 613290004
ft_tolower(1557864637) -> 1557864637
ft_tolower(-1670072654) -> -1670072654
ft_tolower(-1391970813) -> -1391970813
ft_tolower(-1236919936) -> -1236919936
ft_tolower(815664057) -> 815664057
ft_tolower(-453800962) -> -453800962
ft_tolower(1959669599) -> 1959669599
ft_tolower(1353928108) -> 1353928108
ft_tolower(-1123374475) -> -1123374475
ft_tolower(1224239626) -> 1224239626
ft_tolower(1339056763) -> 1339056763
ft_tolower(-539125608) -> -539125608
ft_tolower(1936226545) -> 1936226545
ft_tolower(-1279583018) -> -1279583018
ft_tolower(754494295) -> 754494295
ft_tolower(-2040551868) -> -2040551868
ft_tolower(939176749) -> 939176749
ft_tolower(975450210) -> 975450210
ft_tolower(368223731) -> 368223731
ft_tolower(1406329520) -> 1406329520
ft_tolower(-168012503) -> -168012503
ft_tolower(-451350354) -> -451350354
ft_tolower(2038935119) -> 2038935119
ft_tolower(-168068644) -> -168068644
ft_tolower(2002524901) -> 2002524901
ft_tolower(-729323078) -> -729323078
ft_tolower(-1078271893) -> -1078271893
ft_tolower(1353996232) -> 1353996232
ft_tolower(-63405983) -> -63405983
ft_tolower(-2026739834) -> -2026739834
ft_tolower(61151303) -> 61151303
ft_tolower(-1466226572) -> -1466226572
ft_tolower(-837041763) -> -837041763
ft_tolower(-750946798) -> -750946798
ft_tolower(-1894714909) -> -1894714909
ft_tolower(-864266272) -> -864266272
ft_tolower(-889726311) -> -889726311
ft_tolower(-612834978) -> -612834978
ft_tolower(1943456063) -> 1943456063
ft_tolower(1769935372) -> 1769935372
ft_tolower(-1545435307) -> -1545435307
ft_tolower(225293674) -> 225293674
ft_tolower(1593358939) -> 1593358939
ft_tolower(1980842744) -> 1980842744
ft_tolower(1267811281) -> 1267811281
ft_tolower(-198590922) -> -198590922
ft_tolower(-2122407625) -> -2122407625
ft_tolower(1603507876) -> 1603507876
ft_tolower(-795522035) -> -795522035
ft_tolower(1808500674) -> 1808500674
ft_tolower(722606547) -> 722606547
ft_tolower(1724217616) -> 1724217616
ft_tolower(-1621648375) -> -1621648375
ft_tolower(-2117181938) -> -2117181938
ft_tolower(1918533679) -> 1918533679
ft_tolower(1458640444) -> 1458640444
ft_tolower(-405475387) -> -405475387
ft_tolower(236342554) -> 236342554
ft_tolower(119074891) -> 119074891
ft_tolower(-2083038680) -> -2083038680
ft_tolower(-1558592703) -> -1558592703
ft_tolower(-792977178) -> -792977178
ft_tolower(168052263) -> 168052263
ft_tolower(-1168379692) -> -1168379692
ft_tolower(1954435709) -> 1954435709
ft_tolower(-1600559758) -> -1600559758
ft_tolower(-2040193597) -> -2040193597
ft_tolower(-1880013248) -> -1880013248
ft_tolower(1654823289) -> 1654823289
ft_tolower(-158046530) -> -158046530
ft_tolower(-378416353) -> -378416353
ft_tolower(1019512428) -> 1019512428
ft_tolower(606753845) -> 606753845
ft_tolower(-508809014) -> -508809014
ft_tolower(-1821736389) -> -1821736389
ft_tolower(-324428456) -> -324428456
ft_tolower(2084110001) -> 2084110001
ft_tolower(801410966) -> 801410966
ft_tolower(1584727831) -> 1584727831
ft_tolower(851916548) -> 851916548
ft_tolower(-491924243) -> -491924243
ft_tolower(1462898466) -> 1462898466
ft_tolower(-1221001805) -> -1221001805
