stdout 5691
ft_tolower(0) -> 0
ft_tolower(1) -> 1
ft_tolower(2) -> 2
ft_tolower(3) -> 3
ft_tolower(4) -> 4
ft_tolower(5) -> 5
ft_tolower(6) -> 6
ft_tolower(7) -> 7
ft_tolower(8) -> 8
ft_tolower(9) -> 9
ft_tolower(10) -> 10
ft_tolower(11) -> 11
ft_tolower(12) -> 12
ft_tolower(13) -> 13
ft_tolower(14) -> 14
ft_tolower(15) -> 15
ft_tolower(16) -> 16
ft_tolower(17) -> 17
ft_tolower(18) -> 18
ft_tolower(19) -> 19
ft_tolower(20) -> 20
ft_tolower(21) -> 21
ft_tolower(22) -> 22
ft_tolower(23) -> 23
ft_tolower(24) -> 24
ft_tolower(25) -> 25
ft_tolower(26) -> 26
ft_tolower(27) -> 27
ft_tolower(28) -> 28
ft_tolower(29) -> 29
ft_tolower(30) -> 30
ft_tolower(31) -> 31
ft_tolower(32) -> 32
ft_tolower(33) -> 33
ft_tolower(34) -> 34
ft_tolower(35) -> 35
ft_tolower(36) -> 36
ft_tolower(37) -> 37
ft_tolower(38) -> 38
ft_tolower(39) -> 39
ft_tolower(40) -> 40
ft_tolower(41) -> 41
ft_tolower(42) -> 42
ft_tolower(43) -> 43
ft_tolower(44) -> 44
ft_tolower(45) -> 45
ft_tolower(46) -> 46
ft_tolower(47) -> 47
ft_tolower(48) -> 48
ft_tolower(49) -> 49
ft_tolower(50) -> 50
ft_tolower(51) -> 51
ft_tolower(52) -> 52
ft_tolower(53) -> 53
ft_tolower(54) -> 54
ft_tolower(55) -> 55
ft_tolower(56) -> 56
ft_tolower(57) -> 57
ft_tolower(58) -> 58
ft_tolower(59) -> 59
ft_tolower(60) -> 60
ft_tolower(61) -> 61
ft_tolower(62) -> 62
ft_tolower(63) -> 63
ft_tolower(64) -> 64
ft_tolower(65) -> 97
ft_tolower(66) -> 98
ft_tolower(67) -> 99
ft_tolower(68) -> 100
ft_tolower(69) -> 101
ft_tolower(70) -> 102
ft_tolower(71) -> 103
ft_tolower(72) -> 104
ft_tolower(73) -> 105
ft_tolower(74) -> 106
ft_tolower(75) -> 107
ft_tolower(76) -> 108
ft_tolower(77) -> 109
ft_tolower(78) -> 110
ft_tolower(79) -> 111
ft_tolower(80) -> 112
ft_tolower(81) -> 113
ft_tolower(82) -> 114
ft_tolower(83) -> 115
ft_tolower(84) -> 116
ft_tolower(85) -> 117
ft_tolower(86) -> 118
ft_tolower(87) -> 119
ft_tolower(88) -> 120
ft_tolower(89) -> 121
ft_tolower(90) -> 122
ft_tolower(91) -> 91
ft_tolower(92) -> 92
ft_tolower(93) -> 93
ft_tolower(94) -> 94
ft_tolower(95) -> 95
ft_tolower(96) -> 96
ft_tolower(97) -> 97
ft_tolower(98) -> 98
ft_tolower(99) -> 99
ft_tolower(100) -> 100
ft_tolower(101) -> 101
ft_tolower(102) -> 102
ft_tolower(103) -> 103
ft_tolower(104) -> 104
ft_tolower(105) -> 105
ft_tolower(106) -> 106
ft_tolower(107) -> 107
ft_tolower(108) -> 108
ft_tolower(109) -> 109
ft_tolower(110) -> 110
ft_tolower(111) -> 111
ft_tolower(112) -> 112
ft_tolower(113) -> 113
ft_tolower(114) -> 114
ft_tolower(115) -> 115
ft_tolower(116) -> 116
ft_tolower(117) -> 117
ft_tolower(118) -> 118
ft_tolower(119) -> 119
ft_tolower(120) -> 120
ft_tolower(121) -> 121
ft_tolower(122) -> 122
ft_tolower(123) -> 123
ft_tolower(124) -> 124
ft_tolower(125) -> 125
ft_tolower(126) -> 126
ft_tolower(127) -> 127
ft_tolower(128) -> 128
ft_tolower(129) -> 129
ft_tolower(130) -> 130
ft_tolower(131) -> 131
ft_tolower(132) -> 132
ft_tolower(133) -> 133
ft_tolower(134) -> 134
ft_tolower(135) -> 135
ft_tolower(136) -> 136
ft_tolower(137) -> 137
ft_tolower(138) -> 138
ft_tolower(139) -> 139
ft_tolower(140) -> 140
ft_tolower(141) -> 141
ft_tolower(142) -> 142
ft_tolower(143) -> 143
ft_tolower(144) -> 144
ft_tolower(145) -> 145
ft_tolower(146) -> 146
ft_tolower(147) -> 147
ft_tolower(148) -> 148
ft_tolower(149) -> 149
ft_tolower(150) -> 150
ft_tolower(151) -> 151
ft_tolower(152) -> 152
ft_tolower(153) -> 153
ft_tolower(154) -> 154
ft_tolower(155) -> 155
ft_tolower(156) -> 156
ft_tolower(157) -> 157
ft_tolower(158) -> 158
ft_tolower(159) -> 159
ft_tolower(160) -> 160
ft_tolower(161) -> 161
ft_tolower(162) -> 162
ft_tolower(163) -> 163
ft_tolower(164) -> 164
ft_tolower(165) -> 165
ft_tolower(166) -> 166
ft_tolower(167) -> 167
ft_tolower(168) -> 168
ft_tolower(169) -> 169
ft_tolower(170) -> 170
ft_tolower(171) -> 171
ft_tolower(172) -> 172
ft_tolower(173) -> 173
ft_tolower(174) -> 174
ft_tolower(175) -> 175
ft_tolower(176) -> 176
ft_tolower(177) -> 177
ft_tolower(178) -> 178
ft_tolower(179) -> 179
ft_tolower(180) -> 180
ft_tolower(181) -> 181
ft_tolower(182) -> 182
