stdout 2701
ft_toupper(0) -> 0
ft_toupper(1) -> 1
ft_toupper(2) -> 2
ft_toupper(3) -> 3
ft_toupper(4) -> 4
ft_toupper(5) -> 5
ft_toupper(6) -> 6
ft_toupper(7) -> 7
ft_toupper(8) -> 8
ft_toupper(9) -> 9
ft_toupper(10) -> 10
ft_toupper(11) -> 11
ft_toupper(12) -> 12
ft_toupper(13) -> 13
ft_toupper(14) -> 14
ft_toupper(15) -> 15
ft_toupper(16) -> 16
ft_toupper(17) -> 17
ft_toupper(18) -> 18
ft_toupper(19) -> 19
ft_toupper(20) -> 20
ft_toupper(21) -> 21
ft_toupper(22) -> 22
ft_toupper(23) -> 23
ft_toupper(24) -> 24
ft_toupper(25) -> 25
ft_toupper(26) -> 26
ft_toupper(27) -> 27
ft_toupper(28) -> 28
ft_toupper(29) -> 29
ft_toupper(30) -> 30
ft_toupper(31) -> 31
ft_toupper(32) -> 32
ft_toupper(33) -> 33
ft_toupper(34) -> 34
ft_toupper(35) -> 35
ft_toupper(36) -> 36
ft_toupper(37) -> 37
ft_toupper(38) -> 38
ft_toupper(39) -> 39
ft_toupper(40) -> 40
ft_toupper(41) -> 41
ft_toupper(42) -> 42
ft_toupper(43) -> 43
ft_toupper(44) -> 44
ft_toupper(45) -> 45
ft_toupper(46) -> 46
ft_toupper(47) -> 47
ft_toupper(48) -> 48
ft_toupper(49) -> 49
ft_toupper(50) -> 50
ft_toupper(51) -> 51
ft_toupper(52) -> 52
ft_toupper(53) -> 53
ft_toupper(54) -> 54
ft_toupper(55) -> 55
ft_toupper(56) -> 56
ft_toupper(57) -> 57
ft_toupper(58) -> 58
ft_toupper(59) -> 59
ft_toupper(60) -> 60
ft_toupper(61) -> 61
ft_toupper(62) -> 62
ft_toupper(63) -> 63
ft_toupper(64) -> 64
ft_toupper(65) -> 65
ft_toupper(66) -> 66
ft_toupper(67) -> 67
ft_toupper(68) -> 68
ft_toupper(69) -> 69
ft_toupper(70) -> 70
ft_toupper(71) -> 71
ft_toupper(72) -> 72
ft_toupper(73) -> 73
ft_toupper(74) -> 74
ft_toupper(75) -> 75
ft_toupper(76) -> 76
ft_toupper(77) -> 77
ft_toupper(78) -> 78
ft_toupper(79) -> 79
ft_toupper(80) -> 80
ft_toupper(81) -> 81
ft_toupper(82) -> 82
ft_toupper(83) -> 83
ft_toupper(84) -> 84
ft_toupper(85) -> 85
ft_toupper(86) -> 86
ft_toupper(87) -> 87
ft_toupper(88) -> 88
ft_toupper(89) -> 89
ft_toupper(90) -> 90
ft_toupper(91) -> 91
ft_toupper(92) -> 92
ft_toupper(93) -> 93
ft_toupper(94) -> 94
ft_toupper(95) -> 95
ft_toupper(96) -> 96
ft_toupper(97) -> 65
ft_toupper(98) -> 66
ft_toupper(99) -> 67
ft_toupper(100) -> 68
ft_toupper(101) -> 69
ft_toupper(102) -> 70
ft_toupper(103) -> 71
ft_toupper(104) -> 72
ft_toupper(105) -> 73
ft_toupper(106) -> 74
ft_toupper(107) -> 75
ft_toupper(108) -> 76
ft_toupper(109) -> 77
ft_toupper(110) -> 78
ft_toupper(111) -> 79
ft_toupper(112) -> 80
ft_toupper(113) -> 81
ft_toupper(114) -> 82
ft_toupper(115) -> 83
ft_toupper(116) -> 84
ft_toupper(117) -> 85
ft_toupper(118) -> 86
ft_toupper(119) -> 87
ft_toupper(120) -> 88
ft_toupper(121) -> 89
ft_toupper(122) -> 90
ft_toupper(123) -> 123
ft_toupper(124) -> 124
ft_toupper(125) -> 125
ft_toupper(126) -> 126
ft_toupper(127) -> 127
stderr 0
