stdout 9452
ft_toupper(12345) -> 12345
ft_toupper(-740551042) -> -740551042
ft_toupper(-1492899873) -> -1492899873
ft_toupper(-698016724) -> -698016724
ft_toupper(229283573) -> 229283573
ft_toupper(-1038148470) -> -1038148470
ft_toupper(1051550459) -> 1051550459
ft_toupper(-853684456) -> -853684456
ft_toupper(-1353011855) -> -1353011855
ft_toupper(551188310) -> 551188310
ft_toupper(-1343933481) -> -1343933481
ft_toupper(1772930244) -> 1772930244
ft_toupper(-1776570451) -> -1776570451
ft_toupper(639546082) -> 639546082
ft_toupper(1381971571) -> 1381971571
ft_toupper(1695770928) -> 1695770928
ft_toupper(2121308585) -> 2121308585
ft_toupper(-428270802) -> -428270802
ft_toupper(-1150499121) -> -1150499121
ft_toupper(1157490780) -> 1157490780
ft_toupper(-804247707) -> -804247707
ft_toupper(-1610630086) -> -1610630086
ft_toupper(1511588075) -> 1511588075
ft_toupper(1538207304) -> 1538207304
ft_toupper(2103497953) -> 2103497953
ft_toupper(-1440914938) -> -1440914938
ft_toupper(-1190870841) -> -1190870841
ft_toupper(-626202892) -> -626202892
ft_toupper(1588911645) -> 1588911645
ft_toupper(-1776445294) -> -1776445294
ft_toupper(33727075) -> 33727075
ft_toupper(1680572000) -> 1680572000
ft_toupper(88489753) -> 88489753
ft_toupper(-864506914) -> -864506914
ft_toupper(527630783) -> 527630783
ft_toupper(1194991756) -> 1194991756
ft_toupper(-1041058859) -> -1041058859
ft_toupper(-1293965334) -> -1293965334
ft_toupper(-1755317541) -> -1755317541
ft_toupper(1387182456) -> 1387182456
ft_toupper(1538766929) -> 1538766929
ft_toupper(654858422) -> 654858422
ft_toupper(-61249097) -> -61249097
ft_toupper(-355338972) -> -355338972
ft_toupper(-1309767539) -> -1309767539
ft_toupper(-633779646) -> -633779646
ft_toupper(-1877939629) -> -1877939629
ft_toupper(-842317936) -> -842317936
ft_toupper(1179132041) -> 1179132041
ft_toupper(-644495218) -> -644495218
ft_toupper(1941297327) -> 1941297327
ft_toupper(-1295203140) -> -1295203140
ft_toupper(1787378757) -> 1787378757
ft_toupper(1328144282) -> 1328144282
ft_toupper(-2112794421) -> -2112794421
ft_toupper(-1342213976) -> -1342213976
ft_toupper(-1912186943) -> -1912186943
ft_toupper(1203133286) -> 1203133286
ft_toupper(-1352520025) -> -1352520025
ft_toupper(321843028) -> 321843028
ft_toupper(-421548291) -> -421548291
ft_toupper(154978290) -> 154978290
ft_toupper(-1963389373) -> -1963389373
ft_toupper(422948032) -> 422948032
ft_toupper(1929199097) -> 1929199097
ft_toupper(1179349310) -> 1179349310
ft_toupper(1049906079) -> 1049906079
ft_toupper(-1339501332) -> -1339501332
ft_toupper(214614197) -> 214614197
ft_toupper(973693770) -> 973693770
ft_toupper(662438587) -> 662438587
ft_toupper(809784280) -> 809784280
ft_toupper(263435057) -> 263435057
ft_toupper(2030201366) -> 2030201366
ft_toupper(-446820457) -> -446820457
ft_toupper(-1214851708) -> -1214851708
ft_toupper(-933277331) -> -933277331
ft_toupper(45289890) -> 45289890
